candidate,columns,n_columns,n_samples,mi_nats
all_species_day_88,FSH_day_88|PGF_day_88|P4_day_88|E2_day_88|INH_day_88|IGF1_day_88|Insulin_day_88|Glucose_day_88|Glucagon_day_88,9,389,0.8599850888433433
all_species_day_68,FSH_day_68|PGF_day_68|P4_day_68|E2_day_68|INH_day_68|IGF1_day_68|Insulin_day_68|Glucose_day_68|Glucagon_day_68,9,389,0.8578706020055762
all_species_day_89,FSH_day_89|PGF_day_89|P4_day_89|E2_day_89|INH_day_89|IGF1_day_89|Insulin_day_89|Glucose_day_89|Glucagon_day_89,9,389,0.8561866580138036
all_species_day_90,FSH_day_90|PGF_day_90|P4_day_90|E2_day_90|INH_day_90|IGF1_day_90|Insulin_day_90|Glucose_day_90|Glucagon_day_90,9,389,0.8507711023094018
all_species_day_83,FSH_day_83|PGF_day_83|P4_day_83|E2_day_83|INH_day_83|IGF1_day_83|Insulin_day_83|Glucose_day_83|Glucagon_day_83,9,389,0.8498310542809682
all_species_day_69,FSH_day_69|PGF_day_69|P4_day_69|E2_day_69|INH_day_69|IGF1_day_69|Insulin_day_69|Glucose_day_69|Glucagon_day_69,9,389,0.8479156366472873
all_species_day_66,FSH_day_66|PGF_day_66|P4_day_66|E2_day_66|INH_day_66|IGF1_day_66|Insulin_day_66|Glucose_day_66|Glucagon_day_66,9,389,0.8430363251497219
all_species_day_67,FSH_day_67|PGF_day_67|P4_day_67|E2_day_67|INH_day_67|IGF1_day_67|Insulin_day_67|Glucose_day_67|Glucagon_day_67,9,389,0.8411245445913806
all_species_day_61,FSH_day_61|PGF_day_61|P4_day_61|E2_day_61|INH_day_61|IGF1_day_61|Insulin_day_61|Glucose_day_61|Glucagon_day_61,9,389,0.8384300800036026
all_species_day_70,FSH_day_70|PGF_day_70|P4_day_70|E2_day_70|INH_day_70|IGF1_day_70|Insulin_day_70|Glucose_day_70|Glucagon_day_70,9,389,0.8337062118526335
all_species_day_82,FSH_day_82|PGF_day_82|P4_day_82|E2_day_82|INH_day_82|IGF1_day_82|Insulin_day_82|Glucose_day_82|Glucagon_day_82,9,389,0.8256458354547735
all_species_day_62,FSH_day_62|PGF_day_62|P4_day_62|E2_day_62|INH_day_62|IGF1_day_62|Insulin_day_62|Glucose_day_62|Glucagon_day_62,9,389,0.8038845724967905
all_species_day_63,FSH_day_63|PGF_day_63|P4_day_63|E2_day_63|INH_day_63|IGF1_day_63|Insulin_day_63|Glucose_day_63|Glucagon_day_63,9,389,0.7994611778166574
all_species_day_86,FSH_day_86|PGF_day_86|P4_day_86|E2_day_86|INH_day_86|IGF1_day_86|Insulin_day_86|Glucose_day_86|Glucagon_day_86,9,389,0.7982248211822194
all_species_day_85,FSH_day_85|PGF_day_85|P4_day_85|E2_day_85|INH_day_85|IGF1_day_85|Insulin_day_85|Glucose_day_85|Glucagon_day_85,9,389,0.7964200420893555
all_species_day_60,FSH_day_60|PGF_day_60|P4_day_60|E2_day_60|INH_day_60|IGF1_day_60|Insulin_day_60|Glucose_day_60|Glucagon_day_60,9,389,0.7840120385794753
all_species_day_84,FSH_day_84|PGF_day_84|P4_day_84|E2_day_84|INH_day_84|IGF1_day_84|Insulin_day_84|Glucose_day_84|Glucagon_day_84,9,389,0.7816824146225567
all_species_day_64,FSH_day_64|PGF_day_64|P4_day_64|E2_day_64|INH_day_64|IGF1_day_64|Insulin_day_64|Glucose_day_64|Glucagon_day_64,9,389,0.7615516002019325
all_species_day_71,FSH_day_71|PGF_day_71|P4_day_71|E2_day_71|INH_day_71|IGF1_day_71|Insulin_day_71|Glucose_day_71|Glucagon_day_71,9,389,0.7408265857504288
all_species_day_73,FSH_day_73|PGF_day_73|P4_day_73|E2_day_73|INH_day_73|IGF1_day_73|Insulin_day_73|Glucose_day_73|Glucagon_day_73,9,389,0.7386340634551436
all_species_day_74,FSH_day_74|PGF_day_74|P4_day_74|E2_day_74|INH_day_74|IGF1_day_74|Insulin_day_74|Glucose_day_74|Glucagon_day_74,9,389,0.7315748930386592
