candidate,n_samples,mi_mean_nats,mi_sd_nats,n_repeats
all_species_day_55,100,0.32485585811215056,0.013461701776355752,5
all_species_day_55,200,0.49543317603695874,0.02192752650125276,5
all_species_day_55,300,0.5858179391944729,0.009346737356579952,5
all_species_day_55,389,0.6375622568943771,9.742167503148516e-16,5
FSH_day_55,100,0.12543625360199914,0.03210164331806219,5
FSH_day_55,200,0.16486090235556022,0.01345787068657766,5
FSH_day_55,300,0.1814505082815545,0.02156703760977303,5
FSH_day_55,389,0.17749951060896335,3.973993651728112e-16,5
PGF_day_55,100,0.04876441428920124,0.04315175341522147,5
PGF_day_55,200,0.04923298725651577,0.03229692680092195,5
PGF_day_55,300,0.019246883970027183,0.013477530759083218,5
PGF_day_55,389,0.02210771900198285,4.864778298943684e-16,5
P4_day_55,100,0.24118920500798052,0.04663907184281972,5
P4_day_55,200,0.24948642394781295,0.053587048510401344,5
P4_day_55,300,0.25352860558866863,0.015605049388346458,5
P4_day_55,389,0.24987327296830095,4.865149434140654e-16,5
E2_day_55,100,0.1527291279536996,0.03339930889531096,5
E2_day_55,200,0.1863490158302481,0.032424323727774096,5
E2_day_55,300,0.18622173482793336,0.03924922652964208,5
E2_day_55,389,0.19946377665689408,0.0,5
INH_day_55,100,0.15400726809907664,0.058088863337361095,5
INH_day_55,200,0.1436689065364048,0.03265603171867162,5
INH_day_55,300,0.1491297847390829,0.018537996701730525,5
INH_day_55,389,0.17409306381632933,3.973993651728112e-16,5
IGF1_day_55,100,0.000763360432913629,0.0017069258193285423,5
IGF1_day_55,200,0.0020801520143562515,0.004651361307633697,5
IGF1_day_55,300,0.030187507466204976,0.019285468013319134,5
IGF1_day_55,389,0.046919679285181815,0.0,5
Insulin_day_55,100,0.3017638210573937,0.07786489265313723,5
Insulin_day_55,200,0.34496434479947136,0.043612429042040664,5
Insulin_day_55,300,0.34412032124059755,0.02324248024542214,5
Insulin_day_55,389,0.35467284125124454,0.0,5
Glucose_day_55,100,0.17063281472388567,0.0253207494452015,5
Glucose_day_55,200,0.18957383786473586,0.038286295114126165,5
Glucose_day_55,300,0.17512709850256272,0.037841096749056585,5
Glucose_day_55,389,0.182360371957909,0.0,5
Glucagon_day_55,100,0.0047036484658127264,0.00936462246436431,5
Glucagon_day_55,200,0.013323534744126597,0.01858534864508341,5
Glucagon_day_55,300,0.015568513708311648,0.015614912191652007,5
Glucagon_day_55,389,0.01910046769348437,7.944124442562817e-16,5
all_species_day_56,100,0.31938643088463187,0.012392756939936446,5
all_species_day_56,200,0.4525815878841417,0.015755784448601956,5
all_species_day_56,300,0.5510560794395086,0.01392822202310482,5
all_species_day_56,389,0.6013528894428012,7.947987303456224e-16,5
FSH_day_56,100,0.14698982503200586,0.0366514309747735,5
FSH_day_56,200,0.1659806339947858,0.039796086881559806,5
FSH_day_56,300,0.1690779829918066,0.015280234228740539,5
FSH_day_56,389,0.18434198744096975,0.0,5
PGF_day_56,100,0.006083512675819058,0.009962178983711618,5
PGF_day_56,200,0.025514105756682604,0.021915255020278756,5
PGF_day_56,300,0.0127947317883228,0.019511545462134756,5
PGF_day_56,389,0.005250104437825342,4.864755102053756e-16,5
P4_day_56,100,0.210598529462899,0.0732105043724682,5
P4_day_56,200,0.2622349836329452,0.06438188370400832,5
P4_day_56,300,0.2476355266631499,0.041627904162879176,5
P4_day_56,389,0.2560225641237167,4.871083751574258e-16,5
E2_day_56,100,0.1219216445119324,0.048508134600841475,5
E2_day_56,200,0.08693979485517075,0.04379909551382978,5
E2_day_56,300,0.10940143514843452,0.019029612226654315,5
E2_day_56,389,0.09914071072683246,3.9721758608340127e-16,5
INH_day_56,100,0.1354188134800788,0.08947517350353865,5
INH_day_56,200,0.11203754521469005,0.025752182590675417,5
INH_day_56,300,0.14197247180025557,0.03585706999797504,5
INH_day_56,389,0.15653553707140766,1.0877919644084146e-15,5
IGF1_day_56,100,0.015992575604813198,0.015105535789208304,5
IGF1_day_56,200,0.019837877920725333,0.03225627758684068,5
IGF1_day_56,300,0.017488666617802195,0.01020213287555458,5
IGF1_day_56,389,0.02951020702189435,4.864778298943684e-16,5
Insulin_day_56,100,0.3087161703703737,0.06709350931420754,5
Insulin_day_56,200,0.2975520381428202,0.0229026110598891,5
Insulin_day_56,300,0.3593385266407024,0.019488441438934394,5
Insulin_day_56,389,0.3546728412512444,3.973993651728112e-16,5
Glucose_day_56,100,0.17052264599587125,0.09094709701908404,5
Glucose_day_56,200,0.20897100028366716,0.05443801508572616,5
Glucose_day_56,300,0.18933890378397605,0.016260065779546334,5
Glucose_day_56,389,0.182360371957909,0.0,5
Glucagon_day_56,100,0.005019993686806323,0.010295813798361964,5
Glucagon_day_56,200,0.011073558760613621,0.01530357911572902,5
Glucagon_day_56,300,0.029964647744009375,0.020742377582790034,5
Glucagon_day_56,389,0.01910046769348437,7.944124442562817e-16,5
all_species_day_57,100,0.33192130180335155,0.03603684368959542,5
all_species_day_57,200,0.48205656550836373,0.01666191940839013,5
all_species_day_57,300,0.5766261517712156,0.010095260802591639,5
all_species_day_57,389,0.6293265743872608,4.871083751574258e-16,5
FSH_day_57,100,0.22936238572891998,0.10638286594815306,5
FSH_day_57,200,0.2061890852798344,0.06722239732146677,5
FSH_day_57,300,0.21660603792481758,0.023108687212501568,5
FSH_day_57,389,0.2173510810810219,3.973993651728112e-16,5
PGF_day_57,100,0.011635930520637317,0.015353297114041736,5
PGF_day_57,200,0.06434417592392024,0.030873094305825195,5
PGF_day_57,300,0.02012800070054759,0.012694686867949802,5
PGF_day_57,389,0.00354839390458892,4.864753652244462e-16,5
P4_day_57,100,0.2891335129284748,0.0689076564749027,5
P4_day_57,200,0.248687611609677,0.04186253897598106,5
P4_day_57,300,0.2566502870915606,0.03892810461313017,5
P4_day_57,389,0.2577251972163843,0.0,5
E2_day_57,100,0.15260265856499977,0.055620852784815523,5
E2_day_57,200,0.15625362197099726,0.029886738602621553,5
E2_day_57,300,0.1632084536943843,0.019846485527847426,5
E2_day_57,389,0.16920234790650496,1.1581094996895894e-15,5
INH_day_57,100,0.13756801250282907,0.07192449260079882,5
INH_day_57,200,0.1539584403589629,0.03362709424053571,5
INH_day_57,300,0.1932470102326745,0.021751915251658222,5
INH_day_57,389,0.19350662943837893,0.0,5
IGF1_day_57,100,0.04810244754519406,0.032305845456568984,5
IGF1_day_57,200,0.03365655270103254,0.03332738489792749,5
IGF1_day_57,300,0.05077686728133397,0.03670135389509453,5
IGF1_day_57,389,0.043745138943593886,0.0,5
Insulin_day_57,100,0.3086471057212384,0.07872291309045039,5
Insulin_day_57,200,0.3237650153708532,0.0408598305063205,5
Insulin_day_57,300,0.3350776514253845,0.03029753076455283,5
Insulin_day_57,389,0.3546728412512442,4.871083751574258e-16,5
Glucose_day_57,100,0.15229539243945495,0.048706798483563234,5
Glucose_day_57,200,0.16646943811343604,0.0290477420523576,5
Glucose_day_57,300,0.17402023026440255,0.023769136648597415,5
Glucose_day_57,389,0.182360371957909,0.0,5
Glucagon_day_57,100,0.01063054202041105,0.023770614595307063,5
Glucagon_day_57,200,0.012037351051511002,0.024160371127253423,5
Glucagon_day_57,300,0.013311715820773885,0.00884556840120965,5
Glucagon_day_57,389,0.019100467693484724,0.0,5
all_species_day_58,100,0.39540249226329466,0.01943102374151023,5
all_species_day_58,200,0.5395723419414311,0.020697656112718624,5
all_species_day_58,300,0.6068695205323251,0.00855335976191552,5
all_species_day_58,389,0.6570069836350427,0.0,5
FSH_day_58,100,0.12585977161754744,0.030396023862551066,5
FSH_day_58,200,0.13061647006162005,0.02707419295332178,5
FSH_day_58,300,0.17198330576162046,0.015895541708983774,5
FSH_day_58,389,0.17338191534820097,9.730298868281309e-16,5
PGF_day_58,100,0.17502954441197965,0.018195487501850478,5
PGF_day_58,200,0.17672744855863892,0.03625490289883196,5
PGF_day_58,300,0.1896348472706503,0.024770954972699787,5
PGF_day_58,389,0.18543963662134696,4.865149434140654e-16,5
P4_day_58,100,0.22347655763541036,0.10961245070115734,5
P4_day_58,200,0.20133361163229146,0.017942165316752603,5
P4_day_58,300,0.23856447922040225,0.025798707600831555,5
P4_day_58,389,0.26529981514020146,3.973993651728112e-16,5
E2_day_58,100,0.14387050290464778,0.05037395104339485,5
E2_day_58,200,0.1335803287442822,0.05886699894640991,5
E2_day_58,300,0.17819714779791412,0.03472653389909203,5
E2_day_58,389,0.19717653089262938,3.973993651728112e-16,5
INH_day_58,100,0.13037073210155992,0.042967161171100596,5
INH_day_58,200,0.177094807068025,0.029482625733468836,5
INH_day_58,300,0.1849360869727704,0.022053461467776894,5
INH_day_58,389,0.19119974825162078,0.0,5
IGF1_day_58,100,0.04070347548934432,0.03572520290273834,5
IGF1_day_58,200,0.037071588573661704,0.021987178954031874,5
IGF1_day_58,300,0.05438169619328246,0.018531101354307654,5
IGF1_day_58,389,0.05419091830755818,1.0877919644084146e-15,5
Insulin_day_58,100,0.3172046260506681,0.07633378009788838,5
Insulin_day_58,200,0.32447417326722316,0.013356759747381732,5
Insulin_day_58,300,0.32210932260509056,0.01627922040170222,5
Insulin_day_58,389,0.3546728412512444,3.973993651728112e-16,5
Glucose_day_58,100,0.16958399091425386,0.028969907528215554,5
Glucose_day_58,200,0.1771700575570451,0.031751422347343454,5
Glucose_day_58,300,0.18812083472087354,0.024917963284381804,5
Glucose_day_58,389,0.18236037195790883,3.973993651728112e-16,5
Glucagon_day_58,100,0.0022103576128804647,0.004942509876984884,5
Glucagon_day_58,200,0.0,0.0,5
Glucagon_day_58,300,0.023871357988216955,0.01957684363861078,5
Glucagon_day_58,389,0.019100467693484013,9.729510204107512e-16,5
all_species_day_59,100,0.35199673018011846,0.011514829290951357,5
all_species_day_59,200,0.5085382310576714,0.013532866226555126,5
all_species_day_59,300,0.6007665882007345,0.007572075625642802,5
all_species_day_59,389,0.6546867649877649,4.871083751574258e-16,5
FSH_day_59,100,0.16883534471557943,0.05936908828762438,5
FSH_day_59,200,0.18646724940580697,0.02654341803584879,5
FSH_day_59,300,0.17402467144009445,0.010387045355148105,5
FSH_day_59,389,0.19049582858716896,0.0,5
PGF_day_59,100,0.1498778677170039,0.04988598513002688,5
PGF_day_59,200,0.15738600230667057,0.05494524313658456,5
PGF_day_59,300,0.17403935160138725,0.016214415267246672,5
PGF_day_59,389,0.17660834096285694,0.0,5
P4_day_59,100,0.1652282419204683,0.0733775486085869,5
P4_day_59,200,0.2532792423519769,0.03774766584592569,5
P4_day_59,300,0.23958620048146706,0.005116848003640283,5
P4_day_59,389,0.2577373499538737,3.973993651728112e-16,5
E2_day_59,100,0.11966159169131832,0.0277694388003162,5
E2_day_59,200,0.1288819197937924,0.04062274563977366,5
E2_day_59,300,0.14727076175519524,0.030918663324916437,5
E2_day_59,389,0.1575371533716087,7.944351721668025e-16,5
INH_day_59,100,0.22360588122621278,0.060204756893575885,5
INH_day_59,200,0.21390811793259826,0.030849759860819153,5
INH_day_59,300,0.19822671855857762,0.022469716404119416,5
INH_day_59,389,0.1976613304491437,0.0,5
IGF1_day_59,100,0.02068755969347773,0.02553751396271536,5
IGF1_day_59,200,0.03138088957878367,0.02117705886585333,5
IGF1_day_59,300,0.05840050805179544,0.022645775870595842,5
IGF1_day_59,389,0.054949444224298635,9.729556597887369e-16,5
Insulin_day_59,100,0.24232415367110693,0.033865929026768514,5
Insulin_day_59,200,0.3837632187836471,0.023356341058155865,5
Insulin_day_59,300,0.33954819931431146,0.023754378543978067,5
Insulin_day_59,389,0.35467284125124454,0.0,5
Glucose_day_59,100,0.15043317821378058,0.08289962226792935,5
Glucose_day_59,200,0.18128282489122718,0.05136361977755162,5
Glucose_day_59,300,0.19672117076760892,0.03428290266224973,5
Glucose_day_59,389,0.182360371957909,0.0,5
Glucagon_day_59,100,0.007200566653413176,0.006615280588397135,5
Glucagon_day_59,200,0.009066128006660712,0.01432820185247533,5
Glucagon_day_59,300,0.02190594957781151,0.021491103333065344,5
Glucagon_day_59,389,0.01910046769348437,7.944124442562817e-16,5
all_species_day_60,100,0.4562242561493569,0.024290591651628095,5
all_species_day_60,200,0.6130171474896461,0.01790271213091434,5
all_species_day_60,300,0.7200937872951835,0.017034747060108733,5
all_species_day_60,389,0.784012038579475,7.947987303456224e-16,5
FSH_day_60,100,0.16961851012066037,0.06767113978180968,5
FSH_day_60,200,0.1538904314177243,0.037667447062181274,5
FSH_day_60,300,0.16929217441095049,0.013791698289440265,5
FSH_day_60,389,0.14383084139146388,4.865149434140654e-16,5
PGF_day_60,100,0.16756626621525203,0.10843246189515854,5
PGF_day_60,200,0.14267600807618983,0.025559426797838708,5
PGF_day_60,300,0.14347155907536918,0.02307157443455669,5
PGF_day_60,389,0.1882362510190081,1.0877919644084146e-15,5
P4_day_60,100,0.16793026015002094,0.04429415818019441,5
P4_day_60,200,0.1864117409031735,0.025028039371027676,5
P4_day_60,300,0.20044314747467223,0.028519500964028683,5
P4_day_60,389,0.20985780740537496,0.0,5
E2_day_60,100,0.10418396242953083,0.05989377081342442,5
E2_day_60,200,0.1738373798344531,0.039967457653601934,5
E2_day_60,300,0.18116669746894215,0.027497031997100706,5
E2_day_60,389,0.18565773473266312,0.0,5
INH_day_60,100,0.07310762789553653,0.04448043661317595,5
INH_day_60,200,0.1298983827073828,0.040582849127236725,5
INH_day_60,300,0.1440341554421435,0.02943068449392837,5
INH_day_60,389,0.16153951015366186,0.0,5
IGF1_day_60,100,0.18644672716758298,0.0881831036830374,5
IGF1_day_60,200,0.1797325416002277,0.026128155215877746,5
IGF1_day_60,300,0.19081881081237756,0.024484876935251983,5
IGF1_day_60,389,0.16795912866327303,4.865149434140654e-16,5
Insulin_day_60,100,0.28636914308035166,0.05305321011476219,5
Insulin_day_60,200,0.3479166523916131,0.03097773976068087,5
Insulin_day_60,300,0.3468088348659343,0.03374682292294087,5
Insulin_day_60,389,0.35467284125124454,0.0,5
Glucose_day_60,100,0.14755211023075782,0.05669510724465043,5
Glucose_day_60,200,0.18920668176668407,0.03473777431500371,5
Glucose_day_60,300,0.18396772930196245,0.023555941463745657,5
Glucose_day_60,389,0.182360371957909,0.0,5
Glucagon_day_60,100,0.038765226031000743,0.04346184405479785,5
Glucagon_day_60,200,0.01850692702489969,0.03100097152632309,5
Glucagon_day_60,300,0.011463075788110011,0.014924323850687614,5
Glucagon_day_60,389,0.019100467693484013,9.729510204107512e-16,5
all_species_day_61,100,0.48946262948748875,0.019848800291591976,5
all_species_day_61,200,0.6825172125510258,0.02427256174760407,5
all_species_day_61,300,0.7634106190423262,0.013678981021113099,5
all_species_day_61,389,0.8384300800036023,4.871083751574258e-16,5
FSH_day_61,100,0.15318679391847176,0.0565755618277179,5
FSH_day_61,200,0.10837161682396826,0.021592523527928596,5
FSH_day_61,300,0.15958096693139828,0.022573509888000623,5
FSH_day_61,389,0.15800717063358186,4.865149434140654e-16,5
PGF_day_61,100,0.17884058607996317,0.07044017876151976,5
PGF_day_61,200,0.16088776242057304,0.01293601992311849,5
PGF_day_61,300,0.1525969406954605,0.03361859845462061,5
PGF_day_61,389,0.18578299529115938,0.0,5
P4_day_61,100,0.08776310886084601,0.03761135606400348,5
P4_day_61,200,0.16862396305435218,0.03265838801721684,5
P4_day_61,300,0.17431580997181886,0.019306229805772474,5
P4_day_61,389,0.19684032742024318,4.865149434140654e-16,5
E2_day_61,100,0.15668259399955903,0.052542848958869355,5
E2_day_61,200,0.15482629624161143,0.04522535299549567,5
E2_day_61,300,0.19087151161549798,0.01622190850071627,5
E2_day_61,389,0.2014469392582649,9.730298868281309e-16,5
INH_day_61,100,0.11530138140954219,0.10663265186503826,5
INH_day_61,200,0.12183528234185151,0.03117767643499628,5
INH_day_61,300,0.1399543967231681,0.03750110340443435,5
INH_day_61,389,0.14983637264207755,9.730298868281309e-16,5
IGF1_day_61,100,0.1548848723550682,0.048837498251600386,5
IGF1_day_61,200,0.16574222751378684,0.033670355130821686,5
IGF1_day_61,300,0.2051203379609543,0.02391125953608416,5
IGF1_day_61,389,0.19907227817703532,0.0,5
Insulin_day_61,100,0.3039146677140458,0.07636340181251966,5
Insulin_day_61,200,0.2949212503361943,0.025930111905872005,5
Insulin_day_61,300,0.33238553715277186,0.02314211567258443,5
Insulin_day_61,389,0.3546728412512442,4.871083751574258e-16,5
Glucose_day_61,100,0.17287575935408023,0.06430474205926853,5
Glucose_day_61,200,0.18135636454761422,0.03478610135627324,5
Glucose_day_61,300,0.19476815660470875,0.01907443397314046,5
Glucose_day_61,389,0.18236037195790883,3.973993651728112e-16,5
Glucagon_day_61,100,0.015158171281701627,0.02366871963908019,5
Glucagon_day_61,200,0.030947402519471902,0.03594412470546744,5
Glucagon_day_61,300,0.015853866840263287,0.013674196703340264,5
Glucagon_day_61,389,0.01910046769348437,7.944124442562817e-16,5
all_species_day_62,100,0.4476853852119168,0.02545517573555212,5
all_species_day_62,200,0.6645663203221901,0.04864412573789106,5
all_species_day_62,300,0.7496908744597143,0.016100470047280754,5
all_species_day_62,389,0.8038845724967907,4.002966042486721e-16,5
FSH_day_62,100,0.09091477425144809,0.05217352643782042,5
FSH_day_62,200,0.1537715167125821,0.05809499482869191,5
FSH_day_62,300,0.16063439819687594,0.03235514549697255,5
FSH_day_62,389,0.18343859687925762,3.973993651728112e-16,5
PGF_day_62,100,0.17756604921353514,0.05796790471416915,5
PGF_day_62,200,0.18557101992276603,0.027679370113010627,5
PGF_day_62,300,0.16117455410733666,0.01834309978175715,5
PGF_day_62,389,0.18954657748681214,0.0,5
P4_day_62,100,0.12394807809818538,0.020365427901157723,5
P4_day_62,200,0.17605189859843282,0.05119124360357734,5
P4_day_62,300,0.18582648418777784,0.014394119991564038,5
P4_day_62,389,0.19139502061144817,7.944351721668025e-16,5
E2_day_62,100,0.2506139620362017,0.1208429867216688,5
E2_day_62,200,0.1853366775582952,0.03339082364622886,5
E2_day_62,300,0.14245692628902357,0.01824732741365588,5
E2_day_62,389,0.17312038871632912,9.730298868281309e-16,5
INH_day_62,100,0.06210299455767263,0.03407588552184697,5
INH_day_62,200,0.12147625251494727,0.02865166945641667,5
INH_day_62,300,0.13686256224824317,0.02333649164796307,5
INH_day_62,389,0.1400407964448057,7.944351721668025e-16,5
IGF1_day_62,100,0.16260141488882845,0.04967600019881418,5
IGF1_day_62,200,0.18450994298753826,0.04342743518358226,5
IGF1_day_62,300,0.18402309148369334,0.025520011576357682,5
IGF1_day_62,389,0.21128972846093869,3.973993651728112e-16,5
