biomarker,parameter,variance_screening_score,method,sampling_design,samples
E2,insulin_glucose_threshold,0.5085281619162774,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
E2,blood_usage_glucose_threshold,0.22021065805601392,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
E2,blood_to_liver_glucose_threshold,0.020820179668523696,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
E2,insulin_lh_threshold,0.016580319471501515,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
E2,insulin_clearance,0.013450792478889993,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
E2,insulin_secretion_max,0.011239545033942904,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
E2,e2_clearance,0.011234847769498799,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
E2,insulin_lh_scale,0.009486105563859436,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
E2,hp_e2_1_scale,0.009273177735044626,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
E2,hp_e2_1_threshold,0.0081317346738264,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_fsh_follicle_scale,0.2663373594214251,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,insulin_glucose_threshold,0.1505679114729996,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_fsh_follicle_threshold,0.14657649936101855,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_p4_follicle_scale,0.08667694826304202,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,blood_usage_glucose_threshold,0.05472872439318972,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,fsh_clearance,0.025251584891761443,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_follicle_threshold,0.020908692010473698,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,p4_clearance,0.01765679534061276,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,fsh_syn_scale,0.014512334564245223,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,insulin_fsh_scale,0.011314821300426504,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
Glucose,blood_usage_glucose_threshold,0.659250717614733,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
Glucose,insulin_glucose_threshold,0.1977154273691857,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
Glucose,blood_to_liver_glucose_threshold,0.06279702609146683,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
Glucose,blood_usage_max,0.02205020970555008,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
Glucose,liver_usage_rate,0.018584445199564044,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
Glucose,glucagon_clearance,0.016674405008091947,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
Glucose,glucagon_glucose_threshold,0.015126931410235623,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
Glucose,glucagon_secretion_max,0.013611241462838654,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
Glucose,hepatic_glucose_release,0.012124858695507645,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
Glucose,insulin_secretion_max,0.009869198022319236,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
IGF1,igf_clearance,0.3463050699928838,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
IGF1,igf_basal_release,0.1896849139599108,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
IGF1,insulin_glucose_threshold,0.18858704561835854,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
IGF1,blood_usage_glucose_threshold,0.09064517657741186,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
IGF1,insulin_igf_scale,0.03334202999632649,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
