biomarker,parameter,variance_screening_score,method,sampling_design,samples
FSH,gnrh_hypo_max,0.00152222588093263,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,gnrh_syn,0.0013905177964144333,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,gnrh_release_scale,0.003951042367041852,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_e2_1_threshold,0.0017071840054885905,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_p4_1_threshold,0.0022547430400600265,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_p4_2_scale,0.0008183173541756432,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_p4_2_threshold,0.0013278023461843304,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_e2_1_scale,0.0023963146733224166,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_e2_1_threshold,0.002464141072970845,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,gnrh_clearance,0.0013188343425375364,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,fsh_syn_scale,0.014512334564245223,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_ih_2_threshold,0.010927778204570143,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_p4_fsh_scale,0.0025431730846078564,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_p4_fsh_threshold,0.0016484826973952806,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_e2_fsh_scale,0.0019175215836595527,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_e2_fsh_threshold,0.0016156276008812984,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_gnrh_fsh_scale,0.002037233668430305,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_gnrh_fsh_threshold,0.0013445832173418903,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,fsh_clearance,0.025251584891761443,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,fsh_basal_release,0.005872434900674526,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_e2_lh_scale,0.0024528040419746133,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_e2_lh_threshold,0.002004384193155712,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_p4_lh_scale,0.0011809209780849488,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_p4_lh_threshold,0.002082153672654885,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_gnrh_lh_scale,0.001957108550647784,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_gnrh_lh_threshold,0.002059408849226005,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,lh_basal_release,0.0017129145109754439,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,lh_clearance,0.0022933924090615524,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_fsh_follicle_scale,0.2663373594214251,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_fsh_follicle_threshold,0.14657649936101855,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hm_follicle_threshold,0.020908692010473698,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_p4_follicle_scale,0.08667694826304202,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_p4_follicle_threshold,0.009865647786379562,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_lh_follicle_scale,0.002698987421960821,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_lh_follicle_threshold,0.002577571110182993,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_enz_pg_scale,0.002945987204115848,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_enz_pg_threshold,0.0007595003178285327,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_oxt_pg_threshold,0.007663916430882214,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,pg_clearance,0.0018153625223572467,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,cl_formation_scale,0.003628093033563584,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_cl_self_scale,0.004694075429087802,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_cl_self_threshold,0.0011897990652329589,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_iof_scale,0.0012336935582161034,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_iof_threshold,0.0011456623238654574,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,cl_to_p4_scale,0.002814061570538609,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,p4_clearance,0.01765679534061276,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,p4_baseline,0.004049836176122934,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,follicle_to_e2_scale,0.003706038931251663,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,e2_clearance,0.0052735528744742985,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,follicle_to_inhibin_scale,0.011212994427656957,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,inhibin_clearance,0.006589652596603757,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_p4_enz_scale,0.0017813064279593185,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_p4_enz_threshold,0.0023750143370057926,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,enz_clearance,0.0019485162527605505,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_e2_oxt_scale,0.00544278344413404,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,hp_e2_oxt_threshold,0.007171645423201555,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
FSH,oxt_clearance,0.004947474634487881,equal-count-bin estimate of Var(E[AUC|parameter])/Var(AUC),ordinary independent uniform Monte Carlo; not Sobol/Saltelli,10000
