biomarker,parameter,prcc,abs_prcc,samples
E2,insulin_glucose_threshold,0.974239053083318,0.974239053083318,7874
E2,blood_usage_glucose_threshold,-0.9531657557303896,0.9531657557303896,7874
E2,blood_to_liver_glucose_threshold,-0.7240042850268517,0.7240042850268517,7874
E2,inhibin_clearance,-0.6861688486218066,0.6861688486218066,7874
E2,insulin_secretion_max,-0.6267332931096872,0.6267332931096872,7874
E2,insulin_clearance,0.6238473914357217,0.6238473914357217,7874
E2,insulin_lh_threshold,0.6223327045428041,0.6223327045428041,7874
E2,blood_usage_max,0.4866890551521294,0.4866890551521294,7874
E2,igf_clearance,0.4821600677055483,0.4821600677055483,7874
E2,igf_lh_sensitivity_threshold,0.4765313972692714,0.4765313972692714,7874
FSH,insulin_glucose_threshold,-0.8983028363825328,0.8983028363825328,7874
FSH,hp_fsh_follicle_scale,-0.8913115146195116,0.8913115146195116,7874
FSH,blood_usage_glucose_threshold,0.8304807870586371,0.8304807870586371,7874
FSH,hp_p4_follicle_scale,0.8062259936379371,0.8062259936379371,7874
FSH,hp_fsh_follicle_threshold,0.7869155594630354,0.7869155594630354,7874
FSH,inhibin_clearance,0.5961376951313253,0.5961376951313253,7874
FSH,hm_follicle_threshold,0.563545161814045,0.563545161814045,7874
FSH,fsh_clearance,-0.5049850695044117,0.5049850695044117,7874
FSH,fsh_syn_scale,0.46136506394309906,0.46136506394309906,7874
FSH,follicle_to_inhibin_scale,-0.4595223054869059,0.4595223054869059,7874
Glucose,blood_usage_glucose_threshold,0.985245080230005,0.985245080230005,7874
Glucose,insulin_glucose_threshold,0.9413856112562456,0.9413856112562456,7874
Glucose,blood_to_liver_glucose_threshold,0.8729568192933019,0.8729568192933019,7874
Glucose,blood_usage_max,-0.6857408487661629,0.6857408487661629,7874
Glucose,hepatic_glucose_release,0.6353432815017127,0.6353432815017127,7874
Glucose,glucagon_clearance,-0.6316622030632653,0.6316622030632653,7874
Glucose,glucagon_secretion_max,0.6275738171434274,0.6275738171434274,7874
Glucose,liver_usage_rate,-0.6208905523063674,0.6208905523063674,7874
Glucose,glucagon_glucose_threshold,0.6105145915966159,0.6105145915966159,7874
Glucose,insulin_secretion_max,-0.45126941419241284,0.45126941419241284,7874
IGF1,igf_clearance,-0.9598552990660456,0.9598552990660456,7874
IGF1,igf_basal_release,0.9236280916602444,0.9236280916602444,7874
IGF1,insulin_glucose_threshold,-0.9091126133627241,0.9091126133627241,7874
IGF1,blood_usage_glucose_threshold,0.8499228953439427,0.8499228953439427,7874
IGF1,hm_p4_igf_scale,0.7076692252624551,0.7076692252624551,7874
IGF1,insulin_igf_scale,0.7047188728380853,0.7047188728380853,7874
IGF1,hm_p4_igf_threshold,0.5444708727131019,0.5444708727131019,7874
IGF1,inhibin_clearance,0.5102922834171371,0.5102922834171371,7874
IGF1,blood_to_liver_glucose_threshold,0.4789636155319269,0.4789636155319269,7874
IGF1,insulin_igf_threshold,-0.4586572638395245,0.4586572638395245,7874
INH,insulin_glucose_threshold,0.9307525175289996,0.9307525175289996,7874
