candidate,columns
all_species_cumulative_to_day_55,FSH_day_55|PGF_day_55|P4_day_55|E2_day_55|INH_day_55|IGF1_day_55|Insulin_day_55|Glucose_day_55|Glucagon_day_55
FSH_cumulative_to_day_55,FSH_day_55
PGF_cumulative_to_day_55,PGF_day_55
P4_cumulative_to_day_55,P4_day_55
E2_cumulative_to_day_55,E2_day_55
INH_cumulative_to_day_55,INH_day_55
IGF1_cumulative_to_day_55,IGF1_day_55
Insulin_cumulative_to_day_55,Insulin_day_55
Glucose_cumulative_to_day_55,Glucose_day_55
Glucagon_cumulative_to_day_55,Glucagon_day_55
PGF_E2_FSH_INH_cumulative_to_day_55,PGF_day_55|E2_day_55|FSH_day_55|INH_day_55
PGF_E2_FSH_cumulative_to_day_55,PGF_day_55|E2_day_55|FSH_day_55
PGF_E2_cumulative_to_day_55,PGF_day_55|E2_day_55
all_species_cumulative_to_day_56,FSH_day_55|PGF_day_55|P4_day_55|E2_day_55|INH_day_55|IGF1_day_55|Insulin_day_55|Glucose_day_55|Glucagon_day_55|FSH_day_56|PGF_day_56|P4_day_56|E2_day_56|INH_day_56|IGF1_day_56|Insulin_day_56|Glucose_day_56|Glucagon_day_56
FSH_cumulative_to_day_56,FSH_day_55|FSH_day_56
PGF_cumulative_to_day_56,PGF_day_55|PGF_day_56
P4_cumulative_to_day_56,P4_day_55|P4_day_56
E2_cumulative_to_day_56,E2_day_55|E2_day_56
INH_cumulative_to_day_56,INH_day_55|INH_day_56
IGF1_cumulative_to_day_56,IGF1_day_55|IGF1_day_56
Insulin_cumulative_to_day_56,Insulin_day_55|Insulin_day_56
Glucose_cumulative_to_day_56,Glucose_day_55|Glucose_day_56
Glucagon_cumulative_to_day_56,Glucagon_day_55|Glucagon_day_56
PGF_E2_FSH_INH_cumulative_to_day_56,PGF_day_55|E2_day_55|FSH_day_55|INH_day_55|PGF_day_56|E2_day_56|FSH_day_56|INH_day_56
PGF_E2_FSH_cumulative_to_day_56,PGF_day_55|E2_day_55|FSH_day_55|PGF_day_56|E2_day_56|FSH_day_56
PGF_E2_cumulative_to_day_56,PGF_day_55|E2_day_55|PGF_day_56|E2_day_56
all_species_cumulative_to_day_57,FSH_day_55|PGF_day_55|P4_day_55|E2_day_55|INH_day_55|IGF1_day_55|Insulin_day_55|Glucose_day_55|Glucagon_day_55|FSH_day_56|PGF_day_56|P4_day_56|E2_day_56|INH_day_56|IGF1_day_56|Insulin_day_56|Glucose_day_56|Glucagon_day_56|FSH_day_57|PGF_day_57|P4_day_57|E2_day_57|INH_day_57|IGF1_day_57|Insulin_day_57|Glucose_day_57|Glucagon_day_57
FSH_cumulative_to_day_57,FSH_day_55|FSH_day_56|FSH_day_57
PGF_cumulative_to_day_57,PGF_day_55|PGF_day_56|PGF_day_57
P4_cumulative_to_day_57,P4_day_55|P4_day_56|P4_day_57
E2_cumulative_to_day_57,E2_day_55|E2_day_56|E2_day_57
INH_cumulative_to_day_57,INH_day_55|INH_day_56|INH_day_57
