candidate,columns,n_columns,n_samples,mi_nats
all_species_day_88,FSH_day_88|PGF_day_88|P4_day_88|E2_day_88|INH_day_88|IGF1_day_88|Insulin_day_88|Glucose_day_88|Glucagon_day_88,9,7874,1.4386920465782893
all_species_day_89,FSH_day_89|PGF_day_89|P4_day_89|E2_day_89|INH_day_89|IGF1_day_89|Insulin_day_89|Glucose_day_89|Glucagon_day_89,9,7874,1.4200918678198953
all_species_day_66,FSH_day_66|PGF_day_66|P4_day_66|E2_day_66|INH_day_66|IGF1_day_66|Insulin_day_66|Glucose_day_66|Glucagon_day_66,9,7874,1.4125527229644597
all_species_day_90,FSH_day_90|PGF_day_90|P4_day_90|E2_day_90|INH_day_90|IGF1_day_90|Insulin_day_90|Glucose_day_90|Glucagon_day_90,9,7874,1.4053515230677043
all_species_day_83,FSH_day_83|PGF_day_83|P4_day_83|E2_day_83|INH_day_83|IGF1_day_83|Insulin_day_83|Glucose_day_83|Glucagon_day_83,9,7874,1.403387101989484
all_species_day_67,FSH_day_67|PGF_day_67|P4_day_67|E2_day_67|INH_day_67|IGF1_day_67|Insulin_day_67|Glucose_day_67|Glucagon_day_67,9,7874,1.3950831687130467
all_species_day_68,FSH_day_68|PGF_day_68|P4_day_68|E2_day_68|INH_day_68|IGF1_day_68|Insulin_day_68|Glucose_day_68|Glucagon_day_68,9,7874,1.3846584409387805
all_species_day_61,FSH_day_61|PGF_day_61|P4_day_61|E2_day_61|INH_day_61|IGF1_day_61|Insulin_day_61|Glucose_day_61|Glucagon_day_61,9,7874,1.3739539547113608
all_species_day_69,FSH_day_69|PGF_day_69|P4_day_69|E2_day_69|INH_day_69|IGF1_day_69|Insulin_day_69|Glucose_day_69|Glucagon_day_69,9,7874,1.3654361114494815
all_species_day_82,FSH_day_82|PGF_day_82|P4_day_82|E2_day_82|INH_day_82|IGF1_day_82|Insulin_day_82|Glucose_day_82|Glucagon_day_82,9,7874,1.347996901521718
all_species_day_84,FSH_day_84|PGF_day_84|P4_day_84|E2_day_84|INH_day_84|IGF1_day_84|Insulin_day_84|Glucose_day_84|Glucagon_day_84,9,7874,1.336864536312012
all_species_day_70,FSH_day_70|PGF_day_70|P4_day_70|E2_day_70|INH_day_70|IGF1_day_70|Insulin_day_70|Glucose_day_70|Glucagon_day_70,9,7874,1.335742175789603
all_species_day_62,FSH_day_62|PGF_day_62|P4_day_62|E2_day_62|INH_day_62|IGF1_day_62|Insulin_day_62|Glucose_day_62|Glucagon_day_62,9,7874,1.3263250347857873
all_species_day_85,FSH_day_85|PGF_day_85|P4_day_85|E2_day_85|INH_day_85|IGF1_day_85|Insulin_day_85|Glucose_day_85|Glucagon_day_85,9,7874,1.2932339317390635
all_species_day_60,FSH_day_60|PGF_day_60|P4_day_60|E2_day_60|INH_day_60|IGF1_day_60|Insulin_day_60|Glucose_day_60|Glucagon_day_60,9,7874,1.287923502848951
all_species_day_63,FSH_day_63|PGF_day_63|P4_day_63|E2_day_63|INH_day_63|IGF1_day_63|Insulin_day_63|Glucose_day_63|Glucagon_day_63,9,7874,1.2876368805209637
all_species_day_86,FSH_day_86|PGF_day_86|P4_day_86|E2_day_86|INH_day_86|IGF1_day_86|Insulin_day_86|Glucose_day_86|Glucagon_day_86,9,7874,1.2587231640559615
all_species_day_71,FSH_day_71|PGF_day_71|P4_day_71|E2_day_71|INH_day_71|IGF1_day_71|Insulin_day_71|Glucose_day_71|Glucagon_day_71,9,7874,1.2501844423495143
all_species_day_72,FSH_day_72|PGF_day_72|P4_day_72|E2_day_72|INH_day_72|IGF1_day_72|Insulin_day_72|Glucose_day_72|Glucagon_day_72,9,7874,1.2399152538671832
all_species_day_73,FSH_day_73|PGF_day_73|P4_day_73|E2_day_73|INH_day_73|IGF1_day_73|Insulin_day_73|Glucose_day_73|Glucagon_day_73,9,7874,1.238572696237231
all_species_day_64,FSH_day_64|PGF_day_64|P4_day_64|E2_day_64|INH_day_64|IGF1_day_64|Insulin_day_64|Glucose_day_64|Glucagon_day_64,9,7874,1.2312054047056975
all_species_day_65,FSH_day_65|PGF_day_65|P4_day_65|E2_day_65|INH_day_65|IGF1_day_65|Insulin_day_65|Glucose_day_65|Glucagon_day_65,9,7874,1.2114034889687506
all_species_day_74,FSH_day_74|PGF_day_74|P4_day_74|E2_day_74|INH_day_74|IGF1_day_74|Insulin_day_74|Glucose_day_74|Glucagon_day_74,9,7874,1.2081177275101815
all_species_day_87,FSH_day_87|PGF_day_87|P4_day_87|E2_day_87|INH_day_87|IGF1_day_87|Insulin_day_87|Glucose_day_87|Glucagon_day_87,9,7874,1.2040131554813218
all_species_day_75,FSH_day_75|PGF_day_75|P4_day_75|E2_day_75|INH_day_75|IGF1_day_75|Insulin_day_75|Glucose_day_75|Glucagon_day_75,9,7874,1.1729963315367087
all_species_day_80,FSH_day_80|PGF_day_80|P4_day_80|E2_day_80|INH_day_80|IGF1_day_80|Insulin_day_80|Glucose_day_80|Glucagon_day_80,9,7874,1.1571467956309505
all_species_day_58,FSH_day_58|PGF_day_58|P4_day_58|E2_day_58|INH_day_58|IGF1_day_58|Insulin_day_58|Glucose_day_58|Glucagon_day_58,9,7874,1.128263633040099
all_species_day_77,FSH_day_77|PGF_day_77|P4_day_77|E2_day_77|INH_day_77|IGF1_day_77|Insulin_day_77|Glucose_day_77|Glucagon_day_77,9,7874,1.1009138073207492
all_species_day_81,FSH_day_81|PGF_day_81|P4_day_81|E2_day_81|INH_day_81|IGF1_day_81|Insulin_day_81|Glucose_day_81|Glucagon_day_81,9,7874,1.0992709435807058
