parameter,prior_90_width,posterior_90_width,interval_reduction_fraction,biomarkers,method,source_file,computational_cost,interpretation,posterior_median,scenario
insulin_glucose_threshold,0.0449906067562067,0.0250117110581549,0.4440681541885544,Insulin,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_glucose_threshold,0.0449906067562067,0.0249133411525042,0.446254608489642,Insulin|Glucose,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_glucose_threshold,0.0449906067562067,0.0214747823848083,0.5226829791121723,Insulin|Glucose|IGF1,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_glucose_threshold,0.0449906067562067,0.0218719851758132,0.5138544075581754,Insulin|Glucose|IGF1|E2,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_glucose_threshold,0.0449906067562067,0.0218215777553128,0.5149748063288251,Insulin|Glucose|IGF1|E2|INH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_glucose_threshold,0.0449906067562067,0.0218215794004763,0.5149747697620044,Insulin|Glucose|IGF1|E2|INH|FSH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_glucose_threshold,0.0449906067562067,0.0211127321105448,0.5307302205335966,Insulin|Glucose|IGF1|E2|INH|FSH|P4,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_glucose_threshold,0.0449906067562067,0.021213432074093,0.5284919763575635,Insulin|Glucose|IGF1|E2|INH|FSH|P4|Glucagon,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_glucose_threshold,0.0449906067562067,0.0212134319821741,0.5284919784006326,Insulin|Glucose|IGF1|E2|INH|FSH|P4|Glucagon|PGF,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
inhibin_clearance,0.0427104592269985,0.0428472852353725,-0.0032035714635316,Insulin,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
inhibin_clearance,0.0427104592269985,0.0385654345533468,0.0970494054306854,Insulin|INH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
inhibin_clearance,0.0427104592269985,0.0318011676962439,0.2554243557245225,Insulin|INH|IGF1,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
inhibin_clearance,0.0427104592269985,0.0316989618128421,0.2578173499758512,Insulin|INH|IGF1|E2,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
inhibin_clearance,0.0427104592269985,0.031698969197222,0.257817177081904,Insulin|INH|IGF1|E2|FSH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
