parameter,biomarker,candidate_day,uncertainty_metric,MI_proxy_or_MI,rank
insulin_glucose_threshold,E2,87,0.5382416771608612,0.033703904552734684,1
insulin_glucose_threshold,E2,64,0.4674183931600136,0.029588513863044716,2
insulin_glucose_threshold,E2,88,0.4179419221085571,0.024350788701028293,3
insulin_glucose_threshold,E2,66,0.3633519298761595,0.013726926340742759,4
insulin_glucose_threshold,E2,86,0.638038927130741,0.004806418966031808,5
insulin_glucose_threshold,Glucose,61,0.0246090781246542,0.20752054975542653,1
insulin_glucose_threshold,Glucose,63,0.0246090781246541,0.20752054975542653,2
insulin_glucose_threshold,Glucose,66,0.0246090781246541,0.20752054975542653,3
insulin_glucose_threshold,Glucose,70,0.0246090781246542,0.20752054975542653,4
insulin_glucose_threshold,Glucose,82,0.0246090781246541,0.20752054975542653,5
insulin_glucose_threshold,Insulin,58,4.935990472670703,0.20885690652185232,1
insulin_glucose_threshold,Insulin,59,4.935990473006225,0.20885690652185232,2
insulin_glucose_threshold,Insulin,61,4.935990472670243,0.20885690652185232,3
insulin_glucose_threshold,Insulin,80,4.935990472670246,0.20885690652185232,4
insulin_glucose_threshold,Insulin,81,4.935990472681395,0.20885690652185232,5
inhibin_clearance,E2,64,0.4674183931600136,0.049454616686428456,1
inhibin_clearance,E2,87,0.5382416771608612,0.044750603135263294,2
inhibin_clearance,E2,88,0.4179419221085571,0.029090786177169498,3
inhibin_clearance,E2,66,0.3633519298761595,0.01405320649652174,4
inhibin_clearance,E2,86,0.638038927130741,0.009071478814964583,5
inhibin_clearance,Insulin,58,4.935990472670703,0.2299488987294046,1
inhibin_clearance,Insulin,59,4.935990473006225,0.2299488987294046,2
inhibin_clearance,Insulin,61,4.935990472670243,0.2299488987294046,3
inhibin_clearance,Insulin,80,4.935990472670246,0.2299488987294046,4
inhibin_clearance,Insulin,81,4.935990472681395,0.2299488987294046,5
inhibin_clearance,P4,80,0.2380509077859853,0.022941352185177087,1
inhibin_clearance,P4,81,0.2735010955032229,0.01579630038658668,2
inhibin_clearance,P4,59,0.2495642356967047,0.014770508835596477,3
inhibin_clearance,P4,82,0.4636260576261428,0.007866773537388108,4
inhibin_clearance,P4,60,0.449001158763767,0.0001746674220532554,5
hp_p4_follicle_scale,FSH,62,0.7000381878027417,0.06422704741099275,1
hp_p4_follicle_scale,FSH,84,0.8283151925780393,0.028266375140236322,2
hp_p4_follicle_scale,FSH,71,0.7286914244550808,0.018125609524409673,3
hp_p4_follicle_scale,FSH,80,0.7749220434350099,0.0007356917984191529,4
hp_p4_follicle_scale,FSH,78,0.7443807953438114,2.841815545474113e-05,5
hp_p4_follicle_scale,INH,65,0.3585652596987829,0.12435585753450011,1
hp_p4_follicle_scale,INH,64,0.4054193887425583,0.07924160593902481,2
hp_p4_follicle_scale,INH,86,0.5788942358904803,0.031771865490138426,3
hp_p4_follicle_scale,INH,88,0.3991576534660278,0.014121616217847657,4
hp_p4_follicle_scale,INH,66,0.3188894614955997,0.011672409348113172,5
hp_p4_follicle_scale,PGF,60,0.6096578143811606,0.007248826892426774,1
hp_p4_follicle_scale,PGF,81,1.5214996855601544,0.004337136920389691,2
hp_p4_follicle_scale,PGF,83,0.2464063858896353,0.0004953754892850047,3
hp_p4_follicle_scale,PGF,59,0.649591604639191,0.0003629665845272112,4
hp_p4_follicle_scale,PGF,82,0.7699542439487603,0.00011538796314794992,5
blood_to_liver_glucose_threshold,Glucagon,54,18.231121136297716,0.015307475810805618,1
blood_to_liver_glucose_threshold,Glucagon,59,18.23112113672808,0.015307475810805618,2
blood_to_liver_glucose_threshold,Glucagon,60,18.231121136297773,0.015307475810805618,3
blood_to_liver_glucose_threshold,Glucagon,81,18.231121136297872,0.015307475810805618,4
blood_to_liver_glucose_threshold,Glucagon,87,18.23112113629776,0.015307475810805618,5
blood_to_liver_glucose_threshold,Glucose,61,0.0246090781246542,0.03591892627184024,1
blood_to_liver_glucose_threshold,Glucose,63,0.0246090781246541,0.03591892627184024,2
blood_to_liver_glucose_threshold,Glucose,66,0.0246090781246541,0.03591892627184024,3
blood_to_liver_glucose_threshold,Glucose,70,0.0246090781246542,0.03591892627184024,4
blood_to_liver_glucose_threshold,Glucose,82,0.0246090781246541,0.03591892627184024,5
blood_to_liver_glucose_threshold,Insulin,58,4.935990472670703,0.0019027230460704956,1
blood_to_liver_glucose_threshold,Insulin,59,4.935990473006225,0.0019027230460704956,2
blood_to_liver_glucose_threshold,Insulin,61,4.935990472670243,0.0019027230460704956,3
blood_to_liver_glucose_threshold,Insulin,80,4.935990472670246,0.0019027230460704956,4
blood_to_liver_glucose_threshold,Insulin,81,4.935990472681395,0.0019027230460704956,5
gnrh_clearance,E2,64,0.4674183931600136,0.0006830972299943417,1
gnrh_clearance,E2,86,0.638038927130741,0.0003247014198616559,2
gnrh_clearance,E2,66,0.3633519298761595,8.437040905267935e-05,3
gnrh_clearance,E2,88,0.4179419221085571,1.4681687589820254e-05,4
gnrh_clearance,E2,87,0.5382416771608612,5.2092185164329235e-06,5
gnrh_clearance,INH,64,0.4054193887425583,0.0005421087195439779,1
gnrh_clearance,INH,86,0.5788942358904803,0.00024092267798356078,2
gnrh_clearance,INH,65,0.3585652596987829,0.00022261788021863077,3
gnrh_clearance,INH,66,0.3188894614955997,2.1988927311197187e-05,4
gnrh_clearance,INH,88,0.3991576534660278,1.1469378253598235e-06,5
gnrh_clearance,Insulin,58,4.935990472670703,0.0037105590114165977,1
gnrh_clearance,Insulin,59,4.935990473006225,0.0037105590114165977,2
gnrh_clearance,Insulin,61,4.935990472670243,0.0037105590114165977,3
gnrh_clearance,Insulin,80,4.935990472670246,0.0037105590114165977,4
gnrh_clearance,Insulin,81,4.935990472681395,0.0037105590114165977,5
hp_iof_threshold,Glucagon,54,18.231121136297716,0.001043213443918877,1
