parameter,day,n_biomarkers,biomarkers,ess,ess_fraction,prior_variance,posterior_variance,variance_reduction_fraction,prior_90_width,posterior_90_width,interval_reduction_fraction,weight_warning
insulin_glucose_threshold,65,1,Insulin,13306.65125676429,0.2661330251352858,0.0002084473894088,6.387265786243544e-05,0.6935789983094118,0.0449906067562067,0.0250117110581549,0.4440681541885544,informative
insulin_glucose_threshold,65,2,Insulin|Glucose,13252.045381350412,0.2650409076270082,0.0002084473894088,6.330045777496364e-05,0.6963240558948998,0.0449906067562067,0.0249133411525042,0.446254608489642,informative
insulin_glucose_threshold,65,3,Insulin|Glucose|IGF1,2952.3608880027477,0.0590472177600549,0.0002084473894088,4.681650653495897e-05,0.7754037281649907,0.0449906067562067,0.0214747823848083,0.5226829791121723,informative
insulin_glucose_threshold,65,4,Insulin|Glucose|IGF1|E2,1206.0856238560634,0.0241217124771212,0.0002084473894088,4.804788982076032e-05,0.7694963225155664,0.0449906067562067,0.0218719851758132,0.5138544075581754,informative
insulin_glucose_threshold,65,5,Insulin|Glucose|IGF1|E2|INH,700.3701082893053,0.0140074021657861,0.0002084473894088,4.625316485684987e-05,0.7781062886513889,0.0449906067562067,0.0218215777553128,0.5149748063288251,collapsed
insulin_glucose_threshold,65,6,Insulin|Glucose|IGF1|E2|INH|FSH,700.3503059390906,0.0140070061187818,0.0002084473894088,4.6255438567862375e-05,0.7780953808102355,0.0449906067562067,0.0218215794004763,0.5149747697620044,collapsed
insulin_glucose_threshold,65,7,Insulin|Glucose|IGF1|E2|INH|FSH|P4,623.8104812524992,0.0124762096250499,0.0002084473894088,4.458674198487267e-05,0.7861007417203548,0.0449906067562067,0.0211127321105448,0.5307302205335966,collapsed
insulin_glucose_threshold,65,8,Insulin|Glucose|IGF1|E2|INH|FSH|P4|Glucagon,596.4766636226273,0.0119295332724525,0.0002084473894088,4.5204542046565066e-05,0.7831369240230233,0.0449906067562067,0.021213432074093,0.5284919763575635,collapsed
insulin_glucose_threshold,65,9,Insulin|Glucose|IGF1|E2|INH|FSH|P4|Glucagon|PGF,596.4739280478511,0.011929478560957,0.0002084473894088,4.520441893363927e-05,0.7831375146417215,0.0449906067562067,0.0212134319821741,0.5284919784006326,collapsed
inhibin_clearance,65,1,Insulin,13306.65125676429,0.2661330251352858,0.0001869801156187,0.0001901386755246,-0.0168924909232839,0.0427104592269985,0.0428472852353725,-0.0032035714635316,informative
inhibin_clearance,65,2,Insulin|INH,1387.2186536750285,0.0277443730735005,0.0001869801156187,0.0001385733295694,0.2588873468662277,0.0427104592269985,0.0385654345533468,0.0970494054306854,informative
inhibin_clearance,65,3,Insulin|INH|IGF1,904.740858563982,0.0180948171712796,0.0001869801156187,9.486922751540969e-05,0.4926239766111553,0.0427104592269985,0.0318011676962439,0.2554243557245225,collapsed
inhibin_clearance,65,4,Insulin|INH|IGF1|E2,702.2713431066082,0.0140454268621321,0.0001869801156187,9.480819199896611e-05,0.4929504044574619,0.0427104592269985,0.0316989618128421,0.2578173499758512,collapsed
inhibin_clearance,65,5,Insulin|INH|IGF1|E2|FSH,702.2509340402148,0.0140450186808042,0.0001869801156187,9.480603431959658e-05,0.4929619440768615,0.0427104592269985,0.031698969197222,0.257817177081904,collapsed
inhibin_clearance,65,6,Insulin|INH|IGF1|E2|FSH|P4,625.5545349157402,0.0125110906983148,0.0001869801156187,9.361986059630436e-05,0.4993057936320251,0.0427104592269985,0.0316985607556467,0.2578267401159413,collapsed
inhibin_clearance,65,7,Insulin|INH|IGF1|E2|FSH|P4|PGF,625.5512335498865,0.0125110246709977,0.0001869801156187,9.36199169001545e-05,0.499305492509898,0.0427104592269985,0.0316985604353896,0.2578267476142708,collapsed
inhibin_clearance,65,8,Insulin|INH|IGF1|E2|FSH|P4|PGF|Glucose,623.8071458468054,0.0124761429169361,0.0001869801156187,9.366929765613008e-05,0.4990413962138176,0.0427104592269985,0.0316985731648468,0.2578264495735229,collapsed
inhibin_clearance,65,9,Insulin|INH|IGF1|E2|FSH|P4|PGF|Glucose|Glucagon,596.4739280478511,0.011929478560957,0.0001869801156187,9.236848667930904e-05,0.5059983444032905,0.0427104592269985,0.0315549286381234,0.2611896662029646,collapsed
hp_p4_follicle_scale,65,1,INH,2765.7045486362213,0.0553140909727244,0.0010080078620086,0.0010029139419328,0.0050534527236543,0.0989321295836376,0.0992708961802,-0.00342423232966,informative
hp_p4_follicle_scale,65,2,INH|Insulin,1387.2186536750285,0.0277443730735005,0.0010080078620086,0.0009470266148247,0.0604967971800659,0.0989321295836376,0.0976517307898228,0.0129421937969338,informative
hp_p4_follicle_scale,65,3,INH|Insulin|FSH,1260.0574158362235,0.0252011483167244,0.0010080078620086,0.0008978667618256,0.1092661122339438,0.0989321295836376,0.0955432324367464,0.034254768002605,informative
hp_p4_follicle_scale,65,4,INH|Insulin|FSH|E2,967.304735367222,0.0193460947073444,0.0010080078620086,0.0008705594579228,0.1363564802082509,0.0989321295836376,0.0944801970825297,0.0449998652595887,collapsed
hp_p4_follicle_scale,65,5,INH|Insulin|FSH|E2|IGF1,702.2509340402148,0.0140450186808042,0.0010080078620086,0.0008388284025648,0.1678354562698429,0.0989321295836376,0.0935656011851597,0.054244545438001,collapsed
hp_p4_follicle_scale,65,6,INH|Insulin|FSH|E2|IGF1|P4,625.5545349157402,0.0125110906983148,0.0010080078620086,0.0008415544101638,0.1651311047446092,0.0989321295836376,0.0938286955592173,0.0515852033702134,collapsed
hp_p4_follicle_scale,65,7,INH|Insulin|FSH|E2|IGF1|P4|PGF,625.5512335498865,0.0125110246709977,0.0010080078620086,0.0008415526785395,0.1651328226124987,0.0989321295836376,0.093828696299655,0.0515851958859138,collapsed
hp_p4_follicle_scale,65,8,INH|Insulin|FSH|E2|IGF1|P4|PGF|Glucose,623.8071458468054,0.0124761429169361,0.0010080078620086,0.0008415472510846,0.1651382069503896,0.0989321295836376,0.0937910797373431,0.0519654218293988,collapsed
hp_p4_follicle_scale,65,9,INH|Insulin|FSH|E2|IGF1|P4|PGF|Glucose|Glucagon,596.4739280478511,0.011929478560957,0.0010080078620086,0.0008482425616031,0.1584960856228654,0.0989321295836376,0.0937916747840046,0.0519594071336271,collapsed
