parameter,scenario,day,biomarkers,ess,ess_fraction,prior_variance,posterior_variance,variance_reduction_fraction,prior_90_width,posterior_90_width,interval_reduction_fraction,weight_warning
insulin_glucose_threshold,obs 1: Insulin day 54,54,Insulin,13306.651256763833,0.2661330251352766,0.0002084473894088,6.387265786243136e-05,0.6935789983094314,0.0449906067562067,0.0250117110581536,0.4440681541885815,informative
insulin_glucose_threshold,obs 2: Insulin day 55,55,Insulin,13306.651256763897,0.2661330251352779,0.0002084473894088,6.387265786243147e-05,0.6935789983094309,0.0449906067562067,0.0250117110581533,0.4440681541885889,informative
insulin_glucose_threshold,obs 3: Insulin day 56,56,Insulin,13306.651256764955,0.2661330251352991,0.0002084473894088,6.387265786243109e-05,0.6935789983094327,0.0449906067562067,0.0250117110581564,0.4440681541885197,informative
insulin_glucose_threshold,obs 4: Insulin day 57,57,Insulin,13306.651259900134,0.2661330251980027,0.0002084473894088,6.387265787431503e-05,0.693578998252421,0.0449906067562067,0.0250117110648137,0.4440681540405504,informative
inhibin_clearance,obs 1: Insulin day 54,54,Insulin,13306.651256763833,0.2661330251352766,0.0001869801156187,0.0001901386755246,-0.0168924909232865,0.0427104592269985,0.0428472852353725,-0.0032035714635316,informative
inhibin_clearance,obs 2: Insulin day 55,55,Insulin,13306.651256763897,0.2661330251352779,0.0001869801156187,0.0001901386755246,-0.0168924909232905,0.0427104592269985,0.0428472852353725,-0.0032035714635316,informative
inhibin_clearance,obs 3: Insulin day 56,56,Insulin,13306.651256764955,0.2661330251352991,0.0001869801156187,0.0001901386755245,-0.0168924909229526,0.0427104592269985,0.0428472852353724,-0.003203571463529,informative
inhibin_clearance,obs 4: Insulin day 57,57,Insulin,13306.651259900134,0.2661330251980027,0.0001869801156187,0.0001901386755224,-0.0168924909118244,0.0427104592269985,0.042847285235366,-0.0032035714633795,informative
hp_p4_follicle_scale,obs 1: INH day 65,65,INH,2765.7045486362213,0.0553140909727244,0.0010080078620086,0.0010029139419328,0.0050534527236543,0.0989321295836376,0.0992708961802,-0.00342423232966,informative
hp_p4_follicle_scale,obs 2: FSH day 54,54,FSH,3232.3882888113594,0.0646477657762271,0.0010080078620086,0.0009795266767773,0.0282549237012416,0.0989321295836376,0.0982293731057324,0.0071034201008588,informative
hp_p4_follicle_scale,obs 3: INH day 81,81,INH,18186.208073873662,0.3637241614774733,0.0010080078620086,0.0010231862043064,-0.0150577618190137,0.0989321295836376,0.0992723924565759,-0.0034393566010388,informative
hp_p4_follicle_scale,obs 4: INH day 59,59,INH,17268.962840986445,0.3453792568197289,0.0010080078620086,0.0010314254563337,-0.0232315592047336,0.0989321295836376,0.0993922023746505,-0.0046503880281274,informative
blood_to_liver_glucose_threshold,obs 1: Glucose day 54,54,Glucose,49978.95264637313,0.9995790529274626,0.000168117719468,0.0001679829793039,0.0008014631921394,0.0404292738221117,0.0404261313399479,7.772789037940875e-05,uniform
blood_to_liver_glucose_threshold,obs 2: Glucose day 55,55,Glucose,49978.952646377176,0.9995790529275436,0.000168117719468,0.0001679829793034,0.0008014631950873,0.0404292738221117,0.0404261313400096,7.772788885396231e-05,uniform
blood_to_liver_glucose_threshold,obs 3: Glucose day 56,56,Glucose,49978.952646380945,0.999579052927619,0.000168117719468,0.0001679829793029,0.0008014631980347,0.0404292738221117,0.0404261313400716,7.772788731885694e-05,uniform
blood_to_liver_glucose_threshold,obs 4: Glucose day 57,57,Glucose,49978.952646375736,0.9995790529275148,0.000168117719468,0.0001679829793025,0.0008014632009092,0.0404292738221117,0.0404261313401503,7.772788537330211e-05,uniform
gnrh_clearance,obs 1: Insulin day 54,54,Insulin,13306.651256763833,0.2661330251352766,0.0022248794451012,0.0022323418982709,-0.0033540932683411,0.1467965234599322,0.146658047471367,0.0009433192646622,informative
gnrh_clearance,obs 2: Insulin day 55,55,Insulin,13306.651256763897,0.2661330251352779,0.0022248794451012,0.0022323418982709,-0.0033540932683404,0.1467965234599322,0.146658047471367,0.0009433192646622,informative
gnrh_clearance,obs 3: Insulin day 56,56,Insulin,13306.651256764955,0.2661330251352991,0.0022248794451012,0.0022323418982699,-0.0033540932679274,0.1467965234599322,0.146658047471355,0.000943319264744,informative
gnrh_clearance,obs 4: Insulin day 57,57,Insulin,13306.651259900134,0.2661330251980027,0.0022248794451012,0.0022323418982761,-0.0033540932707005,0.1467965234599322,0.1466580474713719,0.0009433192646289,informative
hp_iof_threshold,obs 1: P4 day 68,68,P4,10290.772192419752,0.205815443848395,0.0027649486829496,0.0027664561644989,-0.0005452114025121,0.1638213698077923,0.1638845838530167,-0.0003858717900999,informative
hp_iof_threshold,obs 2: P4 day 69,69,P4,9566.109710734334,0.1913221942146866,0.0027649486829496,0.0027714752695141,-0.0023604729464847,0.1638213698077923,0.1639103047250341,-0.0005428773874009,informative
hp_iof_threshold,obs 3: P4 day 67,67,P4,10745.10263370036,0.2149020526740072,0.0027649486829496,0.0027700919105385,-0.0018601530005251,0.1638213698077923,0.1638536705652062,-0.0001971705977785,informative
hp_iof_threshold,obs 4: P4 day 89,89,P4,9042.141660271378,0.1808428332054275,0.0027649486829496,0.0027993372538314,-0.0124373269905138,0.1638213698077923,0.1642568387466514,-0.0026581937348586,informative
insulin_igf_threshold,obs 1: IGF1 day 64,64,IGF1,9648.79222370446,0.1929758444740891,0.187242177549249,0.1908083603722719,-0.0190458307508463,1.3491993865863687,1.3576015750967976,-0.0062275365627666,informative
insulin_igf_threshold,obs 2: IGF1 day 86,86,IGF1,8942.199282235642,0.1788439856447128,0.187242177549249,0.1903098139769693,-0.0163832554602367,1.3491993865863687,1.3540183981511902,-0.0035717564154946,informative
insulin_igf_threshold,obs 3: IGF1 day 65,65,IGF1,8178.312919916288,0.1635662583983257,0.187242177549249,0.1874674260967344,-0.0012029797475852,1.3491993865863687,1.353605171977902,-0.0032654813182806,informative
insulin_igf_threshold,obs 4: IGF1 day 87,87,IGF1,13169.295859558446,0.2633859171911689,0.187242177549249,0.1860272983912303,0.006488277234968,1.3491993865863687,1.350357847115097,-0.0008586281169749,informative
feed_direct_blood_fraction,obs 1: P4 day 64,64,P4,7212.023085006868,0.1442404617001373,5.314937078860834e-06,5.269590137946311e-06,0.0085319807632121,0.0072026636017159,0.0071714647295439,0.0043315742476923,informative
feed_direct_blood_fraction,obs 2: P4 day 86,86,P4,8852.208901376322,0.1770441780275264,5.314937078860834e-06,5.289268101010688e-06,0.0048295920477102,0.0072026636017159,0.0071769706728469,0.0035671426974416,informative
