parameter,profile_class,selected_biomarker,biomarker_rank,PRCC,Spearman,uncertainty_metric,selected_day,day_MI,scenario_name,used_in_plot,posterior_width_reduction_percent,ESS
insulin_glucose_threshold,Practically identifiable,Insulin,1,-0.7062195508263196,-0.5843366580400341,4.935990472670703,58,0.20885690652185232,guided_insulin_glucose_threshold,True,49.94297338614621,4061.4390894529897
insulin_glucose_threshold,Practically identifiable,Glucose,2,0.5691449277591754,0.5828266109228755,0.0246090781246542,61,0.20752054975542653,guided_insulin_glucose_threshold,True,49.94297338614621,4061.4390894529897
insulin_glucose_threshold,Practically identifiable,E2,3,0.3905566136699354,0.4313735126929563,0.5382416771608612,87,0.033703904552734684,guided_insulin_glucose_threshold,True,49.94297338614621,4061.4390894529897
inhibin_clearance,Practically identifiable,Insulin,1,-0.40645676813201,-0.6071670547742083,4.935990472670703,58,0.2299488987294046,guided_inhibin_clearance,True,22.438136875191482,425.7297198259889
inhibin_clearance,Practically identifiable,E2,2,0.3867456300298365,0.5144336158322971,0.4674183931600136,64,0.049454616686428456,guided_inhibin_clearance,True,22.438136875191482,425.7297198259889
inhibin_clearance,Practically identifiable,P4,3,-0.3704245414557613,,0.2380509077859853,80,0.022941352185177087,guided_inhibin_clearance,True,22.438136875191482,425.7297198259889
hp_p4_follicle_scale,Practically identifiable,PGF,1,-0.5861180520382406,-0.1297011275412015,0.6096578143811606,60,0.007248826892426774,guided_hp_p4_follicle_scale,True,8.209882504672217,431.4610870029669
hp_p4_follicle_scale,Practically identifiable,FSH,2,0.5851252350218034,,0.7000381878027417,62,0.06422704741099275,guided_hp_p4_follicle_scale,True,8.209882504672217,431.4610870029669
hp_p4_follicle_scale,Practically identifiable,INH,3,0.4367957005777871,0.3304376267132496,0.3585652596987829,65,0.12435585753450011,guided_hp_p4_follicle_scale,True,8.209882504672217,431.4610870029669
blood_to_liver_glucose_threshold,Boundary-limited,Glucose,1,0.6913228769398213,0.2632835139876509,0.0246090781246542,61,0.03591892627184024,guided_blood_to_liver_glucose_threshold,True,1.6586487997640509,12891.446326515315
blood_to_liver_glucose_threshold,Boundary-limited,Insulin,2,0.5220430920866618,,4.935990472670703,58,0.0019027230460704956,guided_blood_to_liver_glucose_threshold,True,1.6586487997640509,12891.446326515315
blood_to_liver_glucose_threshold,Boundary-limited,Glucagon,3,-0.3245435571162907,-0.1736406059916049,18.231121136297716,54,0.015307475810805618,guided_blood_to_liver_glucose_threshold,True,1.6586487997640509,12891.446326515315
gnrh_clearance,Boundary-limited,INH,1,0.1084143332804292,,0.4054193887425583,64,0.0005421087195439779,guided_gnrh_clearance,True,2.0348890581411316,333.6359618015651
gnrh_clearance,Boundary-limited,E2,2,0.0994372615278112,,0.4674183931600136,64,0.0006830972299943417,guided_gnrh_clearance,True,2.0348890581411316,333.6359618015651
gnrh_clearance,Boundary-limited,Insulin,3,0.0444992131389076,0.0859863333180694,4.935990472670703,58,0.0037105590114165977,guided_gnrh_clearance,True,2.0348890581411316,333.6359618015651
hp_iof_threshold,Boundary-limited,PGF,1,0.1153701934002155,0.0464517374435324,0.6096578143811606,60,0.0006899690975547441,guided_hp_iof_threshold,True,-0.36038670006970364,1307.7464931643403
hp_iof_threshold,Boundary-limited,P4,2,0.0861735357126224,0.046226504737553,0.2735010955032229,81,0.0006603553550623361,guided_hp_iof_threshold,True,-0.36038670006970364,1307.7464931643403
hp_iof_threshold,Boundary-limited,Glucagon,3,0.0135618137394966,0.0456536067823086,18.231121136297716,54,0.001043213443918877,guided_hp_iof_threshold,True,-0.36038670006970364,1307.7464931643403
insulin_igf_threshold,Weak/flat/non-identifiable,IGF1,1,-0.3925435303103141,-0.1338628661428147,0.0938054287278092,84,0.014311665507772619,guided_insulin_igf_threshold,True,-0.9345801852388425,1481.8110835780747
insulin_igf_threshold,Weak/flat/non-identifiable,INH,2,0.0964157932704531,,0.3585652596987829,65,0.0006680776707998063,guided_insulin_igf_threshold,True,-0.9345801852388425,1481.8110835780747
insulin_igf_threshold,Weak/flat/non-identifiable,E2,3,0.0835664367272747,0.0351330515604506,0.5382416771608612,87,0.0007116592018291927,guided_insulin_igf_threshold,True,-0.9345801852388425,1481.8110835780747
feed_direct_blood_fraction,Weak/flat/non-identifiable,INH,1,,0.0927611824840809,0.3585652596987829,65,0.0030273730111181683,guided_feed_direct_blood_fraction,True,-0.28564386045166756,600.8815101918877
feed_direct_blood_fraction,Weak/flat/non-identifiable,Glucose,2,0.0374410809133076,,0.0246090781246542,61,1.9714265917572445e-05,guided_feed_direct_blood_fraction,True,-0.28564386045166756,600.8815101918877
feed_direct_blood_fraction,Weak/flat/non-identifiable,FSH,3,0.0119226510938356,0.0274722698001887,0.7286914244550808,71,0.00015430095284279234,guided_feed_direct_blood_fraction,True,-0.28564386045166756,600.8815101918877
lh_basal_release,Weak/flat/non-identifiable,Glucagon,1,,0.0548572686188375,18.231121136297716,54,0.0015069285141015736,guided_lh_basal_release,True,-0.41829752126600894,1566.8035674199941
lh_basal_release,Weak/flat/non-identifiable,INH,2,0.0546646899346996,-0.0546536774004122,0.3585652596987829,65,0.0008365631238248269,guided_lh_basal_release,True,-0.41829752126600894,1566.8035674199941
lh_basal_release,Weak/flat/non-identifiable,IGF1,3,,-0.0519429860433595,0.1201453628699467,61,0.002391038735114967,guided_lh_basal_release,True,-0.41829752126600894,1566.8035674199941
