biomarker,rank,day,interval_width,samples
E2,1,86,0.638038927130741,12721
E2,2,87,0.5382416771608612,12721
E2,3,64,0.4674183931600136,12721
E2,4,88,0.4179419221085571,12721
E2,5,66,0.3633519298761595,12721
FSH,1,84,0.8283151925780393,12721
FSH,2,80,0.7749220434350099,12721
FSH,3,78,0.7443807953438114,12721
FSH,4,71,0.7286914244550808,12721
FSH,5,62,0.7000381878027417,12721
Glucagon,1,59,18.23112113672808,12721
Glucagon,2,81,18.231121136297872,12721
Glucagon,3,60,18.231121136297773,12721
Glucagon,4,87,18.23112113629776,12721
Glucagon,5,54,18.231121136297716,12721
Glucose,1,70,0.0246090781246542,12721
Glucose,2,61,0.0246090781246542,12721
Glucose,3,66,0.0246090781246541,12721
Glucose,4,82,0.0246090781246541,12721
Glucose,5,63,0.0246090781246541,12721
IGF1,1,83,0.1496001570731074,12721
IGF1,2,61,0.1201453628699467,12721
IGF1,3,88,0.1109951508424615,12721
IGF1,4,66,0.098709527231753,12721
IGF1,5,84,0.0938054287278092,12721
INH,1,86,0.5788942358904803,12721
INH,2,64,0.4054193887425583,12721
INH,3,88,0.3991576534660278,12721
INH,4,65,0.3585652596987829,12721
INH,5,66,0.3188894614955997,12721
Insulin,1,59,4.935990473006225,12721
Insulin,2,81,4.935990472681395,12721
Insulin,3,58,4.935990472670703,12721
Insulin,4,80,4.935990472670246,12721
Insulin,5,61,4.935990472670243,12721
P4,1,82,0.4636260576261428,12721
P4,2,60,0.449001158763767,12721
P4,3,81,0.2735010955032229,12721
P4,4,59,0.2495642356967047,12721
P4,5,80,0.2380509077859853,12721
PGF,1,81,1.5214996855601544,12721
PGF,2,82,0.7699542439487603,12721
PGF,3,59,0.649591604639191,12721
PGF,4,60,0.6096578143811606,12721
PGF,5,83,0.2464063858896353,12721
