parameter,scenario,day,biomarkers,ess,ess_fraction,prior_variance,posterior_variance,variance_reduction_fraction,prior_90_width,posterior_90_width,interval_reduction_fraction,weight_warning
insulin_glucose_threshold,high_information_day,65,Insulin|Glucose|IGF1|E2|INH|FSH|P4|Glucagon|PGF,596.4739280478511,0.011929478560957022,0.0002084473894088093,4.5204418933639254e-05,0.7831375146417217,0.04499060675620675,0.02121343198217418,0.5284919784006326,collapsed
insulin_glucose_threshold,low_information_day,58,Insulin|Glucose|IGF1|E2|INH|FSH|P4|Glucagon|PGF,51.59821132962595,0.0010319642265925189,0.0002084473894088093,3.704931966142752e-05,0.8222605724806369,0.04499060675620675,0.01756153625718898,0.6096621600959793,collapsed
inhibin_clearance,high_information_day,65,Insulin|INH|IGF1|E2|FSH|P4|PGF|Glucose|Glucagon,596.4739280478511,0.011929478560957022,0.00018698011561871437,9.236848667930904e-05,0.5059983444032905,0.042710459226998565,0.03155492863812348,0.2611896662029646,collapsed
inhibin_clearance,low_information_day,71,Insulin|INH|IGF1|E2|FSH|P4|PGF|Glucose|Glucagon,336.2528988665214,0.006725057977330428,0.00018698011561871437,9.047155429409718e-05,0.5161434466187584,0.042710459226998565,0.031701094368157656,0.25776741945873427,collapsed
hp_p4_follicle_scale,high_information_day,65,INH|Insulin|FSH|E2|IGF1|P4|PGF|Glucose|Glucagon,596.4739280478511,0.011929478560957022,0.0010080078620086294,0.0008482425616031881,0.15849608562286543,0.09893212958363762,0.09379167478400463,0.05195940713362712,collapsed
hp_p4_follicle_scale,low_information_day,70,INH|Insulin|FSH|E2|IGF1|P4|PGF|Glucose|Glucagon,453.9829156960104,0.009079658313920208,0.0010080078620086294,0.0009305190701642636,0.07687320185177526,0.09893212958363762,0.09740270910932547,0.015459289926829767,collapsed
blood_to_liver_glucose_threshold,high_information_day,65,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH|P4|PGF,596.4739280478511,0.011929478560957022,0.00016811771946807696,0.00015003057650334005,0.10758617843475682,0.0404292738221117,0.038926186653490014,0.03717818863715561,collapsed
blood_to_liver_glucose_threshold,low_information_day,57,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH|P4|PGF,6.971388970638425,0.0001394277794127685,0.00016811771946807696,0.00012197361835010545,0.2744749409162286,0.0404292738221117,0.030039279042323452,0.2569918724116613,collapsed
gnrh_clearance,high_information_day,62,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon|P4|PGF,98.88714356378982,0.0019777428712757965,0.0022248794451012266,0.0019083625098475932,0.14226251042524807,0.14679652345993222,0.1456141169696321,0.008054730878029548,collapsed
gnrh_clearance,low_information_day,80,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon|P4|PGF,98.04441866017322,0.0019608883732034643,0.0022248794451012266,0.002047835027868057,0.07957483612111604,0.14679652345993222,0.14685234490161858,-0.00038026405783098127,collapsed
hp_iof_threshold,high_information_day,69,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin|INH|FSH,423.3565211605642,0.008467130423211285,0.0027649486829496475,0.002788813835592939,-0.008631318472729133,0.16382136980779238,0.16727729198407393,-0.021095673783806612,collapsed
hp_iof_threshold,low_information_day,87,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin|INH|FSH,994.8470676583867,0.019896941353167732,0.0027649486829496475,0.0027959364705576763,-0.011207364461813807,0.16382136980779238,0.16528982719311003,-0.00896377186346653,collapsed
insulin_igf_threshold,high_information_day,65,IGF1|Insulin|E2|INH|PGF|FSH|Glucose|Glucagon|P4,596.4739280478511,0.011929478560957022,0.187242177549249,0.19651091392500064,-0.04950132762322612,1.3491993865863687,1.3714214106483666,-0.016470526360245596,collapsed
insulin_igf_threshold,low_information_day,82,IGF1|Insulin|E2|INH|PGF|FSH|Glucose|Glucagon|P4,237.46943681676802,0.00474938873633536,0.187242177549249,0.19536087499465982,-0.043359341103985205,1.3491993865863687,1.3783646131053864,-0.021616691208857564,collapsed
feed_direct_blood_fraction,high_information_day,64,P4|PGF|INH|E2|Insulin|Glucagon|FSH|Glucose|IGF1,231.88582206008533,0.004637716441201706,5.314937078860834e-06,5.301939923799207e-06,0.002445401491829702,0.007202663601715911,0.007029844302091706,0.023993804123107143,collapsed
feed_direct_blood_fraction,low_information_day,76,P4|PGF|INH|E2|Insulin|Glucagon|FSH|Glucose|IGF1,405.053004261611,0.00810106008523222,5.314937078860834e-06,5.0269579732325624e-06,0.054182975518873966,0.007202663601715911,0.007217552860333376,-0.002067187840609108,collapsed
lh_basal_release,high_information_day,62,IGF1|P4|Glucagon|Insulin|E2|INH|PGF|Glucose|FSH,98.88714356378982,0.0019777428712757965,1.6482660316350985e-07,1.3318250062656874e-07,0.19198419387160337,0.0012660112016096101,0.00120208777330383,0.05049199266523685,collapsed
lh_basal_release,low_information_day,80,IGF1|P4|Glucagon|Insulin|E2|INH|PGF|Glucose|FSH,98.04441866017322,0.0019608883732034643,1.6482660316350985e-07,1.5585171675439008e-07,0.05445047241686207,0.0012660112016096101,0.0012263901627850519,0.031295962290210366,collapsed
