parameter,method,rank,biomarker,association,abs_association
blood_to_liver_glucose_threshold,PRCC,1,Glucose,0.6913228769398213,0.6913228769398213
blood_to_liver_glucose_threshold,PRCC,2,Insulin,0.5220430920866618,0.5220430920866618
blood_to_liver_glucose_threshold,PRCC,3,Glucagon,-0.3245435571162907,0.3245435571162907
blood_to_liver_glucose_threshold,PRCC,4,E2,-0.2188497943296448,0.2188497943296448
blood_to_liver_glucose_threshold,PRCC,5,IGF1,0.2031324159474078,0.2031324159474078
feed_direct_blood_fraction,PRCC,1,Glucose,0.0374410809133076,0.0374410809133076
feed_direct_blood_fraction,PRCC,2,Glucagon,-0.0157190781460993,0.0157190781460993
feed_direct_blood_fraction,PRCC,3,E2,0.0145267416093464,0.0145267416093464
feed_direct_blood_fraction,PRCC,4,Insulin,0.0140892514138189,0.0140892514138189
feed_direct_blood_fraction,PRCC,5,FSH,0.0119226510938356,0.0119226510938356
gnrh_clearance,PRCC,1,INH,0.1084143332804292,0.1084143332804292
gnrh_clearance,PRCC,2,E2,0.0994372615278112,0.0994372615278112
gnrh_clearance,PRCC,3,P4,0.0795411388628665,0.0795411388628665
gnrh_clearance,PRCC,4,PGF,0.051265847703239,0.051265847703239
gnrh_clearance,PRCC,5,Insulin,0.0444992131389076,0.0444992131389076
hp_iof_threshold,PRCC,1,PGF,0.1153701934002155,0.1153701934002155
hp_iof_threshold,PRCC,2,P4,0.0861735357126224,0.0861735357126224
hp_iof_threshold,PRCC,3,Insulin,0.0248562065178233,0.0248562065178233
hp_iof_threshold,PRCC,4,FSH,-0.0160412657164907,0.0160412657164907
hp_iof_threshold,PRCC,5,Glucagon,0.0135618137394966,0.0135618137394966
hp_p4_follicle_scale,PRCC,1,PGF,-0.5861180520382406,0.5861180520382406
hp_p4_follicle_scale,PRCC,2,FSH,0.5851252350218034,0.5851252350218034
hp_p4_follicle_scale,PRCC,3,INH,0.4367957005777871,0.4367957005777871
hp_p4_follicle_scale,PRCC,4,IGF1,-0.3487456271351638,0.3487456271351638
hp_p4_follicle_scale,PRCC,5,Insulin,-0.2223352885689616,0.2223352885689616
inhibin_clearance,PRCC,1,Insulin,-0.40645676813201,0.40645676813201
inhibin_clearance,PRCC,2,E2,0.3867456300298365,0.3867456300298365
inhibin_clearance,PRCC,3,P4,-0.3704245414557613,0.3704245414557613
inhibin_clearance,PRCC,4,INH,0.3231548730968621,0.3231548730968621
inhibin_clearance,PRCC,5,PGF,-0.2416862992626573,0.2416862992626573
insulin_glucose_threshold,PRCC,1,Insulin,-0.7062195508263196,0.7062195508263196
insulin_glucose_threshold,PRCC,2,Glucose,0.5691449277591754,0.5691449277591754
insulin_glucose_threshold,PRCC,3,E2,0.3905566136699354,0.3905566136699354
insulin_glucose_threshold,PRCC,4,IGF1,-0.3475793944969803,0.3475793944969803
insulin_glucose_threshold,PRCC,5,FSH,-0.301784779693802,0.301784779693802
insulin_igf_threshold,PRCC,1,IGF1,-0.3925435303103141,0.3925435303103141
insulin_igf_threshold,PRCC,2,INH,0.0964157932704531,0.0964157932704531
insulin_igf_threshold,PRCC,3,E2,0.0835664367272747,0.0835664367272747
insulin_igf_threshold,PRCC,4,PGF,0.0177041978938337,0.0177041978938337
insulin_igf_threshold,PRCC,5,Glucose,-0.0152155783767004,0.0152155783767004
lh_basal_release,PRCC,1,INH,0.0546646899346996,0.0546646899346996
lh_basal_release,PRCC,2,E2,0.0503540647857889,0.0503540647857889
lh_basal_release,PRCC,3,Insulin,-0.0217820770170041,0.0217820770170041
lh_basal_release,PRCC,4,PGF,-0.0194589017477687,0.0194589017477687
lh_basal_release,PRCC,5,P4,-0.0193105122912572,0.0193105122912572
blood_to_liver_glucose_threshold,Spearman,1,Glucose,0.2632835139876509,0.2632835139876509
blood_to_liver_glucose_threshold,Spearman,2,INH,0.1761345618059632,0.1761345618059632
blood_to_liver_glucose_threshold,Spearman,3,Glucagon,-0.1736406059916049,0.1736406059916049
blood_to_liver_glucose_threshold,Spearman,4,E2,0.1134648453084686,0.1134648453084686
blood_to_liver_glucose_threshold,Spearman,5,IGF1,-0.0788471968834977,0.0788471968834977
feed_direct_blood_fraction,Spearman,1,INH,0.0927611824840809,0.0927611824840809
feed_direct_blood_fraction,Spearman,2,FSH,0.0274722698001887,0.0274722698001887
feed_direct_blood_fraction,Spearman,3,Insulin,0.0253959562761792,0.0253959562761792
feed_direct_blood_fraction,Spearman,4,Glucagon,0.0206458302772073,0.0206458302772073
feed_direct_blood_fraction,Spearman,5,P4,-0.0205674560642956,0.0205674560642956
gnrh_clearance,Spearman,1,Insulin,0.0859863333180694,0.0859863333180694
gnrh_clearance,Spearman,2,FSH,0.0472013659103321,0.0472013659103321
gnrh_clearance,Spearman,3,IGF1,0.0425376486255065,0.0425376486255065
gnrh_clearance,Spearman,4,Glucose,-0.0420323540316576,0.0420323540316576
gnrh_clearance,Spearman,5,PGF,0.0204386900753881,0.0204386900753881
hp_iof_threshold,Spearman,1,PGF,0.0464517374435324,0.0464517374435324
hp_iof_threshold,Spearman,2,P4,0.046226504737553,0.046226504737553
hp_iof_threshold,Spearman,3,Glucagon,0.0456536067823086,0.0456536067823086
hp_iof_threshold,Spearman,4,IGF1,-0.0356936678605062,0.0356936678605062
hp_iof_threshold,Spearman,5,E2,-0.033865271649648,0.033865271649648
hp_p4_follicle_scale,Spearman,1,Insulin,-0.4125221120168114,0.4125221120168114
hp_p4_follicle_scale,Spearman,2,E2,0.3789955739523489,0.3789955739523489
