parameter,day,n_biomarkers,biomarkers,ess,ess_fraction,prior_variance,posterior_variance,variance_reduction_fraction,prior_90_width,posterior_90_width,interval_reduction_fraction,weight_warning
insulin_glucose_threshold,65,1,Insulin,13306.65125676429,0.2661330251352858,0.0002084473894088093,6.387265786243544e-05,0.6935789983094118,0.04499060675620675,0.025011711058154917,0.4440681541885544,informative
insulin_glucose_threshold,65,2,Insulin|Glucose,13252.045381350412,0.2650409076270082,0.0002084473894088093,6.330045777496364e-05,0.6963240558948998,0.04499060675620675,0.024913341152504265,0.44625460848964205,informative
insulin_glucose_threshold,65,3,Insulin|Glucose|IGF1,2952.360888002748,0.05904721776005496,0.0002084473894088093,4.681650653495896e-05,0.7754037281649907,0.04499060675620675,0.021474782384808377,0.5226829791121723,informative
insulin_glucose_threshold,65,4,Insulin|Glucose|IGF1|E2,1206.0856238560634,0.02412171247712127,0.0002084473894088093,4.804788982076032e-05,0.7694963225155664,0.04499060675620675,0.02187198517581329,0.5138544075581754,informative
insulin_glucose_threshold,65,5,Insulin|Glucose|IGF1|E2|INH,700.3701082893053,0.014007402165786107,0.0002084473894088093,4.625316485684988e-05,0.7781062886513889,0.04499060675620675,0.02182157775531285,0.5149748063288251,collapsed
insulin_glucose_threshold,65,6,Insulin|Glucose|IGF1|E2|INH|FSH,700.3503059390905,0.01400700611878181,0.0002084473894088093,4.6255438567862375e-05,0.7780953808102355,0.04499060675620675,0.0218215794004763,0.5149747697620044,collapsed
insulin_glucose_threshold,65,7,Insulin|Glucose|IGF1|E2|INH|FSH|P4,623.8104812524992,0.012476209625049984,0.0002084473894088093,4.458674198487267e-05,0.7861007417203548,0.04499060675620675,0.02111273211054482,0.5307302205335966,collapsed
insulin_glucose_threshold,65,8,Insulin|Glucose|IGF1|E2|INH|FSH|P4|Glucagon,596.4766636226273,0.011929533272452546,0.0002084473894088093,4.520454204656507e-05,0.7831369240230233,0.04499060675620675,0.021213432074093097,0.5284919763575635,collapsed
insulin_glucose_threshold,65,9,Insulin|Glucose|IGF1|E2|INH|FSH|P4|Glucagon|PGF,596.4739280478511,0.011929478560957022,0.0002084473894088093,4.5204418933639254e-05,0.7831375146417217,0.04499060675620675,0.02121343198217418,0.5284919784006326,collapsed
inhibin_clearance,65,1,Insulin,13306.65125676429,0.2661330251352858,0.00018698011561871437,0.0001901386755246381,-0.01689249092328393,0.042710459226998565,0.04284728523537251,-0.0032035714635316737,informative
inhibin_clearance,65,2,Insulin|INH,1387.2186536750285,0.02774437307350057,0.00018698011561871437,0.00013857332956944488,0.25888734686622783,0.042710459226998565,0.03856543455334682,0.09704940543068541,informative
inhibin_clearance,65,3,Insulin|INH|IGF1,904.7408585639821,0.018094817171279642,0.00018698011561871437,9.486922751540967e-05,0.49262397661115553,0.042710459226998565,0.03180116769624397,0.2554243557245225,collapsed
inhibin_clearance,65,4,Insulin|INH|IGF1|E2,702.2713431066082,0.014045426862132164,0.00018698011561871437,9.480819199896609e-05,0.4929504044574621,0.042710459226998565,0.03169896181284215,0.25781734997585126,collapsed
inhibin_clearance,65,5,Insulin|INH|IGF1|E2|FSH,702.2509340402148,0.014045018680804296,0.00018698011561871437,9.480603431959655e-05,0.4929619440768618,0.042710459226998565,0.03169896919722204,0.257817177081904,collapsed
inhibin_clearance,65,6,Insulin|INH|IGF1|E2|FSH|P4,625.5545349157402,0.012511090698314804,0.00018698011561871437,9.361986059630436e-05,0.4993057936320252,0.042710459226998565,0.0316985607556467,0.2578267401159413,collapsed
inhibin_clearance,65,7,Insulin|INH|IGF1|E2|FSH|P4|PGF,625.5512335498864,0.012511024670997729,0.00018698011561871437,9.361991690015449e-05,0.4993054925098982,0.042710459226998565,0.0316985604353896,0.2578267476142708,collapsed
inhibin_clearance,65,8,Insulin|INH|IGF1|E2|FSH|P4|PGF|Glucose,623.8071458468055,0.01247614291693611,0.00018698011561871437,9.366929765613008e-05,0.4990413962138177,0.042710459226998565,0.03169857316484681,0.25782644957352296,collapsed
inhibin_clearance,65,9,Insulin|INH|IGF1|E2|FSH|P4|PGF|Glucose|Glucagon,596.4739280478511,0.011929478560957022,0.00018698011561871437,9.236848667930904e-05,0.5059983444032905,0.042710459226998565,0.03155492863812348,0.2611896662029646,collapsed
hp_p4_follicle_scale,65,1,INH,2765.7045486362213,0.055314090972724425,0.0010080078620086294,0.001002913941932897,0.005053452723654317,0.09893212958363762,0.09927089618020002,-0.0034242323296600485,informative
hp_p4_follicle_scale,65,2,INH|Insulin,1387.2186536750285,0.02774437307350057,0.0010080078620086294,0.0009470266148247814,0.060496797180066064,0.09893212958363762,0.09765173078982281,0.012942193796933843,informative
hp_p4_follicle_scale,65,3,INH|Insulin|FSH,1260.0574158362215,0.02520114831672443,0.0010080078620086294,0.0008978667618256973,0.10926611223394322,0.09893212958363762,0.09554323243674645,0.034254768002605074,informative
hp_p4_follicle_scale,65,4,INH|Insulin|FSH|E2,967.3047353672223,0.019346094707344445,0.0010080078620086294,0.0008705594579228883,0.13635648020825097,0.09893212958363762,0.09448019708252975,0.04499986525958877,collapsed
hp_p4_follicle_scale,65,5,INH|Insulin|FSH|E2|IGF1,702.2509340402148,0.014045018680804296,0.0010080078620086294,0.0008388284025648221,0.1678354562698431,0.09893212958363762,0.09356560118515977,0.05424454543800106,collapsed
hp_p4_follicle_scale,65,6,INH|Insulin|FSH|E2|IGF1|P4,625.5545349157402,0.012511090698314804,0.0010080078620086294,0.0008415544101638928,0.16513110474460924,0.09893212958363762,0.09382869555921736,0.05158520337021344,collapsed
hp_p4_follicle_scale,65,7,INH|Insulin|FSH|E2|IGF1|P4|PGF,625.5512335498865,0.01251102467099773,0.0010080078620086294,0.0008415526785395542,0.16513282261249884,0.09893212958363762,0.09382869629965507,0.051585195885913815,collapsed
hp_p4_follicle_scale,65,8,INH|Insulin|FSH|E2|IGF1|P4|PGF|Glucose,623.8071458468055,0.01247614291693611,0.0010080078620086294,0.0008415472510846285,0.16513820695038972,0.09893212958363762,0.09379107973734313,0.051965421829398895,collapsed
hp_p4_follicle_scale,65,9,INH|Insulin|FSH|E2|IGF1|P4|PGF|Glucose|Glucagon,596.4739280478511,0.011929478560957022,0.0010080078620086294,0.0008482425616031881,0.15849608562286543,0.09893212958363762,0.09379167478400463,0.05195940713362712,collapsed
blood_to_liver_glucose_threshold,65,1,Glucose,49978.95264641633,0.9995790529283266,0.00016811771946807696,0.00016798297929851671,0.0008014632246176046,0.0404292738221117,0.04042613134062678,7.772787358850675e-05,uniform
blood_to_liver_glucose_threshold,65,2,Glucose|Glucagon,48683.42975988947,0.9736685951977894,0.00016811771946807696,0.00016800414802600343,0.0006755471251506107,0.0404292738221117,0.040428628307282055,1.5966520508947646e-05,uniform
blood_to_liver_glucose_threshold,65,3,Glucose|Glucagon|INH,2689.0973913302905,0.05378194782660581,0.00016811771946807696,0.0001645939518265791,0.020960120400437376,0.0404292738221117,0.03982489998857536,0.014948916376672505,informative
blood_to_liver_glucose_threshold,65,4,Glucose|Glucagon|INH|E2,1263.283773065636,0.025265675461312722,0.00016811771946807696,0.00015780899617075489,0.061318481656417845,0.0404292738221117,0.039297869282582054,0.027984785096754727,informative
blood_to_liver_glucose_threshold,65,5,Glucose|Glucagon|INH|E2|IGF1,912.7589652977188,0.018255179305954376,0.00016811771946807696,0.00015527696405911589,0.07637954791195789,0.0404292738221117,0.03921471902487528,0.030041469519844655,collapsed
blood_to_liver_glucose_threshold,65,6,Glucose|Glucagon|INH|E2|IGF1|Insulin,670.3220758806519,0.013406441517613039,0.00016811771946807696,0.00015019952068177136,0.10658126248082966,0.0404292738221117,0.03899290488268148,0.03552794308772966,collapsed
blood_to_liver_glucose_threshold,65,7,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH,670.3100413136991,0.013406200826273982,0.00016811771946807696,0.0001502027977553715,0.10656176974912646,0.0404292738221117,0.03899290659017879,0.03552790085354762,collapsed
blood_to_liver_glucose_threshold,65,8,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH|P4,596.4766636226273,0.011929533272452546,0.00016811771946807696,0.00015003067615020727,0.10758558571396837,0.0404292738221117,0.03892619043189277,0.03717809518005388,collapsed
blood_to_liver_glucose_threshold,65,9,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH|P4|PGF,596.4739280478511,0.011929478560957022,0.00016811771946807696,0.00015003057650334005,0.10758617843475682,0.0404292738221117,0.038926186653490014,0.03717818863715561,collapsed
gnrh_clearance,62,1,Insulin,13306.651256766823,0.2661330251353365,0.0022248794451012266,0.0022323418982710596,-0.003354093268407743,0.14679652345993222,0.1466580474713668,0.0009433192646637334,informative
