parameter,scenario,day,biomarkers,ess,ess_fraction,prior_variance,posterior_variance,variance_reduction_fraction,prior_90_width,posterior_90_width,interval_reduction_fraction,weight_warning
insulin_glucose_threshold,obs 1: Insulin day 54,54,Insulin,13306.651256763835,0.2661330251352767,0.0002084473894088093,6.387265786243136e-05,0.6935789983094314,0.04499060675620675,0.025011711058153696,0.4440681541885815,informative
insulin_glucose_threshold,obs 2: Insulin day 55,55,Insulin,13306.651256763897,0.2661330251352779,0.0002084473894088093,6.387265786243147e-05,0.6935789983094309,0.04499060675620675,0.025011711058153363,0.4440681541885889,informative
insulin_glucose_threshold,obs 3: Insulin day 56,56,Insulin,13306.651256764955,0.26613302513529913,0.0002084473894088093,6.387265786243109e-05,0.6935789983094327,0.04499060675620675,0.02501171105815647,0.44406815418851975,informative
insulin_glucose_threshold,obs 4: Insulin day 57,57,Insulin,13306.651259900134,0.2661330251980027,0.0002084473894088093,6.387265787431506e-05,0.6935789982524209,0.04499060675620675,0.025011711064813702,0.44406815404055044,informative
inhibin_clearance,obs 1: Insulin day 54,54,Insulin,13306.651256763835,0.2661330251352767,0.00018698011561871437,0.00019013867552463855,-0.016892490923286374,0.042710459226998565,0.04284728523537251,-0.0032035714635316737,informative
inhibin_clearance,obs 2: Insulin day 55,55,Insulin,13306.651256763897,0.2661330251352779,0.00018698011561871437,0.00019013867552463925,-0.01689249092329015,0.042710459226998565,0.04284728523537251,-0.0032035714635316737,informative
inhibin_clearance,obs 3: Insulin day 56,56,Insulin,13306.651256764955,0.26613302513529913,0.00018698011561871437,0.00019013867552457612,-0.01689249092295264,0.042710459226998565,0.0428472852353724,-0.003203571463529009,informative
inhibin_clearance,obs 4: Insulin day 57,57,Insulin,13306.651259900134,0.2661330251980027,0.00018698011561871437,0.00019013867552249535,-0.01689249091182421,0.042710459226998565,0.04284728523536602,-0.003203571463379573,informative
hp_p4_follicle_scale,obs 1: INH day 65,65,INH,2765.7045486362213,0.055314090972724425,0.0010080078620086294,0.001002913941932897,0.005053452723654317,0.09893212958363762,0.09927089618020002,-0.0034242323296600485,informative
hp_p4_follicle_scale,obs 2: FSH day 54,54,FSH,3232.388288811366,0.06464776577622731,0.0010080078620086294,0.000979526676777323,0.028254923701242385,0.09893212958363762,0.09822937310573243,0.007103420100858848,informative
hp_p4_follicle_scale,obs 3: INH day 81,81,INH,18186.208073873662,0.3637241614774732,0.0010080078620086294,0.0010231862043064486,-0.015057761819013749,0.09893212958363762,0.09927239245657593,-0.00343935660103889,informative
hp_p4_follicle_scale,obs 4: INH day 59,59,INH,17268.96284098645,0.345379256819729,0.0010080078620086294,0.0010314254563337198,-0.02323155920473363,0.09893212958363762,0.09939220237465052,-0.00465038802812745,informative
blood_to_liver_glucose_threshold,obs 1: Glucose day 54,54,Glucose,49978.95264637313,0.9995790529274626,0.00016811771946807696,0.00016798297930397687,0.0008014631921394733,0.0404292738221117,0.040426131339947935,7.772789037940875e-05,uniform
blood_to_liver_glucose_threshold,obs 2: Glucose day 55,55,Glucose,49978.952646377176,0.9995790529275436,0.00016811771946807696,0.00016798297930348125,0.0008014631950874485,0.0404292738221117,0.04042613134000961,7.772788885396231e-05,uniform
