biomarker,parameter,prcc,abs_prcc,samples
Glucose,blood_to_liver_glucose_threshold,0.6913228769398213,0.6913228769398213,12721
Insulin,blood_to_liver_glucose_threshold,0.5220430920866618,0.5220430920866618,12721
Glucagon,blood_to_liver_glucose_threshold,-0.32454355711629074,0.32454355711629074,12721
E2,blood_to_liver_glucose_threshold,-0.21884979432964483,0.21884979432964483,12721
IGF1,blood_to_liver_glucose_threshold,0.20313241594740788,0.20313241594740788,12721
Glucose,feed_direct_blood_fraction,0.03744108091330766,0.03744108091330766,12721
Glucagon,feed_direct_blood_fraction,-0.01571907814609933,0.01571907814609933,12721
E2,feed_direct_blood_fraction,0.014526741609346432,0.014526741609346432,12721
Insulin,feed_direct_blood_fraction,0.01408925141381894,0.01408925141381894,12721
FSH,feed_direct_blood_fraction,0.01192265109383567,0.01192265109383567,12721
INH,gnrh_clearance,0.10841433328042925,0.10841433328042925,12721
E2,gnrh_clearance,0.09943726152781124,0.09943726152781124,12721
P4,gnrh_clearance,0.07954113886286658,0.07954113886286658,12721
PGF,gnrh_clearance,0.05126584770323908,0.05126584770323908,12721
Insulin,gnrh_clearance,0.0444992131389076,0.0444992131389076,12721
PGF,hp_iof_threshold,0.11537019340021551,0.11537019340021551,12721
P4,hp_iof_threshold,0.08617353571262241,0.08617353571262241,12721
Insulin,hp_iof_threshold,0.024856206517823342,0.024856206517823342,12721
FSH,hp_iof_threshold,-0.016041265716490703,0.016041265716490703,12721
Glucagon,hp_iof_threshold,0.01356181373949665,0.01356181373949665,12721
PGF,hp_p4_follicle_scale,-0.5861180520382406,0.5861180520382406,12721
FSH,hp_p4_follicle_scale,0.5851252350218034,0.5851252350218034,12721
INH,hp_p4_follicle_scale,0.4367957005777871,0.4367957005777871,12721
IGF1,hp_p4_follicle_scale,-0.3487456271351638,0.3487456271351638,12721
Insulin,hp_p4_follicle_scale,-0.22233528856896168,0.22233528856896168,12721
Insulin,inhibin_clearance,-0.40645676813201004,0.40645676813201004,12721
E2,inhibin_clearance,0.38674563002983653,0.38674563002983653,12721
P4,inhibin_clearance,-0.37042454145576137,0.37042454145576137,12721
INH,inhibin_clearance,0.32315487309686214,0.32315487309686214,12721
PGF,inhibin_clearance,-0.24168629926265733,0.24168629926265733,12721
Insulin,insulin_glucose_threshold,-0.7062195508263196,0.7062195508263196,12721
Glucose,insulin_glucose_threshold,0.5691449277591754,0.5691449277591754,12721
E2,insulin_glucose_threshold,0.3905566136699354,0.3905566136699354,12721
IGF1,insulin_glucose_threshold,-0.34757939449698033,0.34757939449698033,12721
FSH,insulin_glucose_threshold,-0.301784779693802,0.301784779693802,12721
IGF1,insulin_igf_threshold,-0.3925435303103141,0.3925435303103141,12721
INH,insulin_igf_threshold,0.09641579327045313,0.09641579327045313,12721
E2,insulin_igf_threshold,0.08356643672727475,0.08356643672727475,12721
PGF,insulin_igf_threshold,0.017704197893833786,0.017704197893833786,12721
Glucose,insulin_igf_threshold,-0.015215578376700442,0.015215578376700442,12721
INH,lh_basal_release,0.05466468993469966,0.05466468993469966,12721
E2,lh_basal_release,0.05035406478578894,0.05035406478578894,12721
Insulin,lh_basal_release,-0.02178207701700415,0.02178207701700415,12721
PGF,lh_basal_release,-0.019458901747768702,0.019458901747768702,12721
P4,lh_basal_release,-0.019310512291257284,0.019310512291257284,12721
