biomarker,parameter,prcc,abs_prcc,samples
IGF1,igf_clearance,-0.9512410168815012,0.9512410168815012,12721
Glucagon,glucagon_secretion_max,0.9297311800645724,0.9297311800645724,12721
Glucagon,glucagon_clearance,-0.9279798688199381,0.9279798688199381,12721
Glucagon,glucagon_glucose_threshold,0.9227387966414156,0.9227387966414156,12721
IGF1,igf_basal_release,0.9045408429334302,0.9045408429334302,12721
FSH,hp_fsh_follicle_scale,-0.8862394824465928,0.8862394824465928,12721
FSH,hp_fsh_follicle_threshold,0.8806732127809576,0.8806732127809576,12721
P4,cl_to_p4_scale,0.8472916148786683,0.8472916148786683,12721
Glucose,blood_usage_glucose_threshold,0.8421766066699682,0.8421766066699682,12721
INH,follicle_to_inhibin_scale,0.758100655296945,0.758100655296945,12721
P4,p4_clearance,-0.746287166314611,0.746287166314611,12721
P4,cl_formation_scale,0.7450615709871686,0.7450615709871686,12721
INH,hm_ih_2_threshold,0.7274107845489429,0.7274107845489429,12721
E2,e2_clearance,-0.7244059333183808,0.7244059333183808,12721
Insulin,insulin_glucose_threshold,-0.7062195508263196,0.7062195508263196,12721
Glucose,blood_to_liver_glucose_threshold,0.6913228769398213,0.6913228769398213,12721
Insulin,blood_usage_glucose_threshold,0.680484887032898,0.680484887032898,12721
IGF1,insulin_igf_scale,0.6754009048246601,0.6754009048246601,12721
IGF1,hm_p4_igf_scale,0.6729683667157431,0.6729683667157431,12721
FSH,fsh_clearance,-0.6672704247300183,0.6672704247300183,12721
PGF,hp_fsh_follicle_scale,0.6535835225247314,0.6535835225247314,12721
P4,hp_cl_self_scale,0.6161671831507978,0.6161671831507978,12721
INH,hp_fsh_follicle_scale,0.593747395875187,0.593747395875187,12721
INH,follicle_to_e2_scale,-0.5895200231517496,0.5895200231517496,12721
PGF,hp_p4_follicle_scale,-0.5861180520382406,0.5861180520382406,12721
FSH,hp_p4_follicle_scale,0.5851252350218034,0.5851252350218034,12721
INH,hp_e2_1_threshold,0.5799078563379417,0.5799078563379417,12721
Glucose,insulin_glucose_threshold,0.5691449277591754,0.5691449277591754,12721
E2,hp_e2_1_threshold,0.5554713493566934,0.5554713493566934,12721
FSH,p4_clearance,-0.5512378906896449,0.5512378906896449,12721
E2,hp_fsh_follicle_scale,0.5501589624326743,0.5501589624326743,12721
E2,follicle_to_e2_scale,0.5363252247219201,0.5363252247219201,12721
Glucagon,blood_usage_glucose_threshold,-0.527385642409197,0.527385642409197,12721
Insulin,blood_to_liver_glucose_threshold,0.5220430920866618,0.5220430920866618,12721
PGF,hm_follicle_threshold,-0.5198586012432441,0.5198586012432441,12721
P4,follicle_to_e2_scale,-0.5178742895549665,0.5178742895549665,12721
INH,insulin_fsh_scale,0.5103713717750945,0.5103713717750945,12721
P4,hp_p4_follicle_threshold,0.49483098355131133,0.49483098355131133,12721
INH,fsh_syn_scale,0.49366006731014633,0.49366006731014633,12721
PGF,fsh_clearance,-0.48875520623883906,0.48875520623883906,12721
P4,iof_clearance,0.4852306294932142,0.4852306294932142,12721
INH,hp_fsh_follicle_threshold,-0.483356201703354,0.483356201703354,12721
INH,hp_p4_follicle_threshold,0.483277344578839,0.483277344578839,12721
IGF1,hm_p4_igf_threshold,0.48070435824405594,0.48070435824405594,12721
PGF,hp_oxt_pg_threshold,-0.4802233712671138,0.4802233712671138,12721
PGF,hp_cl_self_scale,0.4794100957604668,0.4794100957604668,12721
Insulin,insulin_clearance,-0.47393353184931925,0.47393353184931925,12721
FSH,hm_follicle_threshold,0.4706328287469193,0.4706328287469193,12721
Glucose,hepatic_glucose_release,0.46165982106445214,0.46165982106445214,12721
Insulin,insulin_secretion_max,0.45724473907665636,0.45724473907665636,12721
Glucose,glucagon_clearance,-0.45028767544748877,0.45028767544748877,12721
PGF,hp_e2_oxt_scale,0.4501665044842808,0.4501665044842808,12721
FSH,insulin_fsh_scale,0.4447272233817026,0.4447272233817026,12721
Glucose,glucagon_glucose_threshold,0.4438636818737989,0.4438636818737989,12721
Glucose,glucagon_secretion_max,0.43751019239392436,0.43751019239392436,12721
INH,hp_p4_follicle_scale,0.4367957005777871,0.4367957005777871,12721
FSH,fsh_syn_scale,0.43050576715022565,0.43050576715022565,12721
Glucose,liver_usage_rate,-0.4295528034551417,0.4295528034551417,12721
PGF,oxt_clearance,-0.4281052126607195,0.4281052126607195,12721
INH,insulin_fsh_threshold,-0.42593895246181934,0.42593895246181934,12721
P4,p4_baseline,-0.4190137729407042,0.4190137729407042,12721
P4,hp_fsh_follicle_scale,0.4152915173336643,0.4152915173336643,12721
PGF,cl_formation_scale,0.4134144945524896,0.4134144945524896,12721
