param,recommendation_3class,sensitivity_0to1,nullspace_0to1,identifiable_0to1
insulin_clearance,Fix (anchor),0.1611470233540697,0.9999832671642556,0.0057849234762686
insulin_secretion_max,Fix (anchor),0.1610115287046999,0.9999999887709816,0.0001498599378141
fsh_syn_scale,Fix (anchor),0.1128747988767617,0.8195320640194699,0.5730329288305855
insulin_fsh_threshold,Fix (anchor),0.1108839886531418,0.9874224075374192,0.1581042396337899
blood_usage_max,Fix (anchor),0.1106382257125035,0.9999446170438382,0.0105243847023043
glucagon_clearance,Fix (anchor),0.1023959707184814,0.9999803549211416,0.0062681505156157
glucagon_secretion_max,Fix (anchor),0.1023938397018608,0.999999999466885,3.265318052249071e-05
insulin_lh_threshold,Fix (anchor),0.0960782143076467,0.9884404849678766,0.1516092749594178
blood_to_liver_max,Fix (anchor),0.0601163656194055,0.9293167414861572,0.3692833469697272
hm_p4_igf_scale,Fix (anchor),0.042371098938294,0.9874418335706758,0.1579828689145306
hp_enz_pg_scale,Fix (anchor),0.011026136152349,0.9970065326194334,0.077317298591943
hp_pg_iof_scale,Fix (anchor),0.0046831855084921,0.99190261999183,0.1270006596556892
hm_p4_igf_threshold,Fix (irrelevant),0.0046829108710818,1.1050527724163131e-05,0.9999999999218132
storage_to_liver_max,Fix (irrelevant),0.0046532257008793,0.9999892749499308,0.0046314092739228
liver_to_storage_max,Fix (irrelevant),0.0046524813672248,0.999396650352456,0.0347323105321855
hp_p4_fsh_threshold,Fix (irrelevant),0.0044512134012982,0.0006669815785525,0.9999997765345576
hp_p4_enz_threshold,Fix (irrelevant),0.0033370717063127,0.0310075428611809,0.9995191039376652
hp_cl_iof_threshold,Fix (irrelevant),0.0033209692510117,0.0275290077629905,0.9996209635332638
hp_iof_scale,Fix (irrelevant),0.0029644973776723,0.9841869395102212,0.1771327746319128
gnrh_hypo_max,Fix (irrelevant),0.0018310506432595,0.9998114928921976,0.0194159237836723
hm_e2_fsh_threshold,Fix (irrelevant),0.0011176071418276,0.0038341397364747,0.9999926437386376
hm_p4_2_scale,Fix (irrelevant),0.0009296314528474,0.7592673949052767,0.6507783465779733
gnrh_release_scale,Fix (irrelevant),0.0009067888222923,0.6776086865260192,0.7354221853371421
hp_gnrh_fsh_threshold,Fix (irrelevant),0.0007902011984953,0.0054221339281382,0.9999852917643433
hm_p4_2_threshold,Fix (irrelevant),0.0006692954308576,0.1450719207744295,0.9894209181612744
storage_fat_threshold,Fix (irrelevant),0.0005402669709535,0.9999995084869604,0.0009914758263126
hm_p4_1_threshold,Fix (irrelevant),0.0005067004133622,0.1092292503948289,0.9940164330696786
hm_e2_1_threshold,Fix (irrelevant),0.0002377052663353,0.0144117967078374,0.9998961226446808
hp_lh_follicle_threshold,Fix (irrelevant),5.412975074701847e-05,0.0984468909404795,0.9951421679860942
milk_storage_threshold,Fix (irrelevant),1.8527329871397027e-10,0.99999999999984,5.64726575357874e-07
milk_fat_threshold,Fix (irrelevant),3.1113010428744296e-12,0.9999999999997664,6.833314142483985e-07
fat_mobilization_storage_threshold,Fix (irrelevant),0.0,1.0,7.245911717039288e-16
storage_to_liver_threshold,Fix (irrelevant),0.0,1.0,4.038968316400757e-28
lactation_oxt_scale,Fix (irrelevant),0.0,0.9999999999999998,1.6149550172037778e-15
fat_to_liver_max,Fix (irrelevant),0.0,0.9999999999999998,1.0587916889400065e-22
fat_glucose_transfer_threshold,Fix (irrelevant),0.0,0.9999999999999998,0.0
lactation_oxt_decay,Fix (irrelevant),0.0,0.9999999999999992,5.2485536245786335e-16
