parameter,sensitivity_0to1,nullspace_0to1,identifiable_0to1,recommendation_3class,scenario_label
insulin_glucose_threshold,1.0,3.8332263982654e-05,0.9999999992618405,Estimate,Estimate candidate: sensitive and weakly compensated
blood_usage_glucose_threshold,0.659689290589431,0.00023366909887111926,0.9999999726781766,Estimate,Estimate candidate: sensitive and weakly compensated
inhibin_clearance,0.48700884835237646,2.8681014429560508e-05,0.999999999586097,Estimate,Estimate candidate: sensitive and weakly compensated
blood_to_liver_glucose_threshold,0.20377544914225929,0.005263907465226412,0.999986145067962,Estimate,Estimate candidate: sensitive and weakly compensated
hm_ih_2_threshold,0.16924559235312095,5.089932703979036e-05,0.9999999987000106,Estimate,Estimate candidate: sensitive and weakly compensated
hp_fsh_follicle_scale,0.16416671193053392,0.00015801495370371604,0.9999999875013006,Estimate,Estimate candidate: sensitive and weakly compensated
hp_cl_self_scale,0.16016483548310512,0.0,1.0,Estimate,Estimate candidate: sensitive and weakly compensated
follicle_to_e2_scale,0.1561367579771317,1.4980724447576507e-05,0.9999999998864288,Estimate,Estimate candidate: sensitive and weakly compensated
insulin_clearance,0.15113637147722364,0.9999580916788677,0.009155046605616076,Fix (anchor),Anchor candidate: high sensitivity but should be fixed
insulin_secretion_max,0.15078011646228903,0.9999999776476256,0.0002114349626812651,Fix (anchor),Anchor candidate: high sensitivity but should be fixed
hp_e2_oxt_scale,0.14761990637418296,0.08524333297631405,0.9963601557825899,Estimate,Estimate candidate: sensitive and weakly compensated
hp_oxt_pg_threshold,0.1475804549315414,0.0487319829594216,0.9988118869053908,Estimate,Estimate candidate: sensitive and weakly compensated
hp_p4_follicle_scale,0.13423838913329417,0.0003897261035503806,0.9999999240214273,Estimate,Estimate candidate: sensitive and weakly compensated
cl_formation_scale,0.1323419636549925,0.0003479753784774356,0.9999999394250004,Estimate,Estimate candidate: sensitive and weakly compensated
follicle_to_inhibin_scale,0.12462855204137978,0.0001552994050578695,0.9999999879269569,Estimate,Estimate candidate: sensitive and weakly compensated
hp_fsh_follicle_threshold,0.12232168608026667,0.015998677840422797,0.9998720115345875,Estimate,Estimate candidate: sensitive and weakly compensated
insulin_fsh_scale,0.1164420943720242,0.5913478362549701,0.8064165751636302,Estimate,Estimate candidate: sensitive and weakly compensated
fsh_syn_scale,0.1164420940854214,0.8184037889565329,0.574643551472399,Fix (anchor),Anchor candidate: high sensitivity but should be fixed
hp_e2_oxt_threshold,0.11508466479216459,0.0014541535303141233,0.9999989425864316,Estimate,Estimate candidate: sensitive and weakly compensated
insulin_fsh_threshold,0.11449498561008693,0.8721732441914691,0.4891971094383174,Fix (anchor),Anchor candidate: high sensitivity but should be fixed
e2_clearance,0.10708535526331558,3.935578156922725e-06,0.9999999999918984,Estimate,Estimate candidate: sensitive and weakly compensated
blood_usage_max,0.10407704342118414,0.9999631433428401,0.008585566330560335,Fix (anchor),Anchor candidate: high sensitivity but should be fixed
glucagon_secretion_max,0.09447141853155397,0.9999999998953564,1.446675668611081e-05,Fix (anchor),Anchor candidate: high sensitivity but should be fixed
glucagon_clearance,0.0944683241554063,0.9999954935042406,0.003002160953751063,Fix (anchor),Anchor candidate: high sensitivity but should be fixed
hepatic_glucose_release,0.0911745313154663,0.0012605756442168694,0.9999992053599611,Estimate,Estimate candidate: sensitive and weakly compensated
insulin_lh_threshold,0.09042610994690227,0.8208060447740084,0.571206976645378,Fix (anchor),Weak/isolated parameter
glucagon_glucose_threshold,0.0899057636132504,0.00558724785911247,0.9999843907046753,Estimate,Weak/isolated parameter
fsh_basal_release,0.08663009156492553,0.007009851565296469,0.9999754300570276,Estimate,Weak/isolated parameter
liver_usage_rate,0.08639664965339904,0.03772280476567004,0.9992882384040066,Estimate,Weak/isolated parameter
igf_lh_sensitivity_threshold,0.08302561797198756,0.014605492133307084,0.9998933328048133,Estimate,Weak/isolated parameter
oxt_clearance,0.0818472620011187,0.013205481519598994,0.9999128026447258,Estimate,Weak/isolated parameter
igf_lh_sensitivity_scale,0.0802952988433692,0.011398604434939253,0.9999350327755252,Estimate,Weak/isolated parameter
p4_clearance,0.07856039387441444,1.7642528877506603e-05,0.9999999998427693,Estimate,Weak/isolated parameter
hp_lh_follicle_scale,0.07772557842846999,0.050742328479694655,0.9987117739160585,Estimate,Weak/isolated parameter
hm_follicle_threshold,0.07318696051959651,0.0001661127941748471,0.9999999861881986,Estimate,Weak/isolated parameter
igf_clearance,0.0676321374564693,0.00020835583250160307,0.9999999782750203,Estimate,Weak/isolated parameter
blood_to_liver_max,0.05628961308023877,0.9799594430835823,0.19919710426373247,Fix (anchor),Weak/isolated parameter
fsh_clearance,0.05613055593871721,0.02849453808174641,0.9995939456976569,Estimate,Weak/isolated parameter
insulin_lh_scale,0.05605577528886891,0.04877170705305449,0.9988099479737319,Estimate,Weak/isolated parameter
lh_clearance,0.043700151189243114,0.011952423555915997,0.9999285661625186,Estimate,Weak/isolated parameter
p4_baseline,0.04271481320430268,2.064110824745931e-06,0.9999999999976824,Estimate,Weak/isolated parameter
hm_p4_lh_threshold,0.040415315503673235,0.0005683575036174374,0.9999998384333147,Estimate,Weak/isolated parameter
hm_p4_igf_scale,0.03938690069372485,0.9874415989252132,0.15798445006209869,Fix (anchor),Weak/isolated parameter
insulin_igf_scale,0.039386900584224865,0.15822706218469096,0.9874027408406358,Estimate,Weak/isolated parameter
hm_e2_fsh_scale,0.036485551778766445,0.003144435865878139,0.9999950559648778,Estimate,Weak/isolated parameter
hp_e2_1_threshold,0.0344350717836813,0.006732748863799001,0.9999773341826506,Estimate,Weak/isolated parameter
hp_e2_lh_scale,0.033120239103650716,0.027993620911026907,0.9996080993319169,Estimate,Weak/isolated parameter
hp_gnrh_lh_threshold,0.03153777992484613,0.007433532751773928,0.9999723702441732,Estimate,Weak/isolated parameter
igf_basal_release,0.031213083695854394,4.8434114347641704e-05,0.9999999988226735,Estimate,Weak/isolated parameter
hp_e2_lh_threshold,0.03012900121650672,0.0024484275059451933,0.9999970023752441,Estimate,Weak/isolated parameter
iof_clearance,0.0293544292388046,0.0005038926197448075,0.9999998730004032,Estimate,Weak/isolated parameter
hp_e2_1_scale,0.028538574967935024,0.01976489102441484,0.9998046537031996,Estimate,Weak/isolated parameter
gnrh_syn,0.027621764590109645,0.04644089082992749,0.9989210357289618,Estimate,Weak/isolated parameter
hp_p4_fsh_scale,0.024427627543562966,0.0025811214248130225,0.9999966686669277,Estimate,Weak/isolated parameter
hm_p4_lh_scale,0.024190477812023492,0.11366845535309016,0.9935187285466539,Estimate,Weak/isolated parameter
hp_p4_follicle_threshold,0.02286506452564452,7.616602661755964e-05,0.9999999970924572,Estimate,Weak/isolated parameter
