parameter,output,metric,nominal_value,base_metric,perturbed_metric,relative_sensitivity
insulin_glucose_threshold,Insulin,AUC,0.5,1374.0650467631717,1313.2114767087733,-4.428725568541948
blood_usage_glucose_threshold,Insulin,AUC,0.5,1374.0650467631717,1416.3732686218987,3.079055242573171
insulin_glucose_threshold,E2,AUC,0.5,16.842271088140375,17.23823002048801,2.35098301336839
insulin_glucose_threshold,Follicle,AUC,0.5,19.277313178356533,19.60564363597547,1.7031961590351012
blood_usage_glucose_threshold,E2,AUC,0.5,16.842271088140375,16.613441545362633,-1.358662033048941
blood_to_liver_glucose_threshold,Insulin,AUC,0.45,1374.0650467631717,1387.4638992440007,0.975125050476474
igf_clearance,IGF1,AUC,1.7,29.40509795337114,29.129447803722478,-0.9374229940868476
blood_usage_glucose_threshold,Follicle,AUC,0.5,19.277313178356533,19.098426479989683,-0.9279648917448354
insulin_glucose_threshold,P4,AUC,0.5,55.24403546337959,54.79531864923567,-0.8122448158975798
cl_to_p4_scale,P4,AUC,2.25,55.24403546337959,55.687464860317476,0.8026737967609726
cl_formation_scale,P4,AUC,0.4,55.24403546337959,55.66829545236119,0.7679742897544818
insulin_secretion_max,Insulin,AUC,84211.0,1374.0650467631717,1384.019527387237,0.7244548318520082
insulin_clearance,Insulin,AUC,2105.0,1374.0650467631717,1364.1651225628852,-0.7204843921768711
igf_basal_release,IGF1,AUC,0.4,29.40509795337114,29.609401406721204,0.6947892289766787
insulin_glucose_threshold,CL,AUC,0.5,44.47711481761466,44.176390028821295,-0.6761337600843402
e2_clearance,E2,AUC,1.23,16.842271088140375,16.73284843948218,-0.6496905796466298
p4_clearance,P4,AUC,1.41,55.24403546337959,54.938057900711556,-0.553865336052181
hp_cl_self_scale,P4,AUC,0.0335,55.24403546337959,55.54137201373189,0.5382238061688999
cl_formation_scale,CL,AUC,0.4,44.47711481761466,44.702488594214486,0.5067185169811578
blood_usage_max,Insulin,AUC,1000.0,1374.0650467631717,1367.1863928613068,-0.5006061334628006
blood_usage_glucose_threshold,Glucose,AUC,0.5,42.87980691299765,43.09263743548425,0.4963420728979203
insulin_lh_threshold,E2,AUC,16.0,16.842271088140375,16.92441803772966,0.48774271094073485
inhibin_clearance,P4,AUC,0.475,55.24403546337959,54.98216752277048,-0.4740202963317112
blood_usage_glucose_threshold,P4,AUC,0.5,55.24403546337959,55.50107022510518,0.46527151677030587
blood_to_liver_glucose_threshold,E2,AUC,0.45,16.842271088140375,16.76496608618917,-0.45899392989607685
