parameter,classification,best_multiplier,best_value,min_total_loss,profile_span,admissible_fraction,worst_species
insulin_glucose_threshold,practically identifiable,1.0,0.5,85.071113518,60.364961810425456,0.5714285714285714,PGF
blood_usage_glucose_threshold,practically identifiable,1.0,0.5,85.10925900429558,293.3653145201931,0.7142857142857143,PGF
inhibin_clearance,practically identifiable,1.0,0.475,86.19721356626087,258.2174001292001,0.8571428571428571,PGF
blood_to_liver_glucose_threshold,boundary-limited,0.9,0.405,87.52547321822404,3.4197797423758374,1.0,FSH
hp_p4_follicle_scale,practically identifiable,1.0,1.1,87.16156804063132,460.78888321894885,1.0,FSH
hm_ih_2_threshold,practically identifiable,1.0,0.118,86.4763546358138,71.16370997137355,1.0,FSH
follicle_to_e2_scale,practically identifiable,1.0,2.19,86.343609328031,43.67487324986439,1.0,FSH
hp_fsh_follicle_scale,practically identifiable,1.0,0.562,86.0391782051882,188.20936595629354,1.0,FSH
follicle_to_inhibin_scale,practically identifiable,1.0,1.41,86.64749463265737,51.68343533468759,1.0,FSH
hm_follicle_threshold,practically identifiable,1.0,0.322,86.21058070948129,12.339306379227224,1.0,FSH
insulin_fsh_scale,practically identifiable,1.0333333333333334,3.1000000000000005,84.21364845293361,32.91274367389882,1.0,FSH
hp_fsh_follicle_threshold,practically identifiable,1.0,1.497,82.5678138172467,46.98142359444893,1.0,FSH
fsh_basal_release,practically identifiable,1.0,0.948,87.06637675345354,120.05350369369336,1.0,FSH
hp_e2_oxt_scale,practically identifiable,0.9666666666666667,1.5370000000000001,84.9772623287416,44.35032351382995,1.0,FSH
hp_oxt_pg_threshold,practically identifiable,1.0333333333333334,1.1232333333333333,85.38650614226293,42.91725977312345,1.0,FSH
cl_formation_scale,practically identifiable,1.0,0.4,86.63878360610477,64.01570232487225,1.0,FSH
e2_clearance,practically identifiable,1.0,1.23,86.6688595853854,123.81060912011975,1.0,FSH
hepatic_glucose_release,practically identifiable,0.9333333333333333,0.06384000000000001,86.38169235871777,2.79543928360296,1.0,FSH
glucagon_glucose_threshold,practically identifiable,1.0,0.5,87.35458867477539,43.20279501359519,1.0,FSH
igf_lh_sensitivity_threshold,boundary-limited,1.1,0.55,83.08036062648134,13.651857406304728,1.0,FSH
pg_clearance,practically identifiable,1.0,1.23,84.09047751209195,35.52198840997343,1.0,FSH
