parameter,output,metric,nominal_value,relative_sensitivity,abs_relative_sensitivity
insulin_glucose_threshold,Insulin,AUC,0.5,-4.428725568541948,4.428725568541948
blood_usage_glucose_threshold,Insulin,AUC,0.5,3.079055242573171,3.079055242573171
blood_to_liver_glucose_threshold,Insulin,AUC,0.45,0.975125050476474,0.975125050476474
igf_clearance,IGF1,AUC,1.7,-0.9374229940868476,0.9374229940868476
cl_to_p4_scale,P4,AUC,2.25,0.8026737967609726,0.8026737967609726
cl_formation_scale,P4,AUC,0.4,0.7679742897544818,0.7679742897544818
insulin_secretion_max,Insulin,AUC,84211.0,0.7244548318520082,0.7244548318520082
insulin_clearance,Insulin,AUC,2105.0,-0.7204843921768711,0.7204843921768711
igf_basal_release,IGF1,AUC,0.4,0.6947892289766787,0.6947892289766787
e2_clearance,E2,AUC,1.23,-0.6496905796466298,0.6496905796466298
p4_clearance,P4,AUC,1.41,-0.553865336052181,0.553865336052181
hp_cl_self_scale,P4,AUC,0.0335,0.5382238061688999,0.5382238061688999
blood_usage_max,Insulin,AUC,1000.0,-0.5006061334628006,0.5006061334628006
insulin_lh_threshold,E2,AUC,16.0,0.4877427109407348,0.4877427109407348
inhibin_clearance,P4,AUC,0.475,-0.4740202963317112,0.4740202963317112
hp_fsh_follicle_scale,P4,AUC,0.562,0.4539752608046065,0.4539752608046065
glucagon_secretion_max,Insulin,AUC,70182.0,0.4382161683601657,0.4382161683601657
glucagon_clearance,Insulin,AUC,350.87,-0.4371902238786236,0.4371902238786236
hepatic_glucose_release,Insulin,AUC,0.0684,0.4324439928641305,0.4324439928641305
liver_usage_rate,Insulin,AUC,5.0,-0.4246959733910709,0.4246959733910709
glucagon_glucose_threshold,Insulin,AUC,0.5,0.4151776734074394,0.4151776734074394
follicle_to_e2_scale,E2,AUC,2.19,0.3706357679591762,0.3706357679591762
igf_lh_sensitivity_threshold,E2,AUC,0.5,0.3500335776282043,0.3500335776282043
hp_e2_1_threshold,E2,AUC,0.648,0.3350647057447142,0.3350647057447142
igf_lh_sensitivity_scale,E2,AUC,1.0,0.3345075519040976,0.3345075519040976
hp_p4_follicle_threshold,P4,AUC,0.126,0.3257400270069925,0.3257400270069925
p4_baseline,CL,AUC,0.1,-0.3074360451866166,0.3074360451866166
insulin_lh_scale,E2,AUC,1.05,-0.2965958685561122,0.2965958685561122
iof_clearance,P4,AUC,0.298,0.2743036113350867,0.2743036113350867
hp_lh_follicle_scale,E2,AUC,3.49,-0.2706940124083051,0.2706940124083051
blood_to_liver_max,Insulin,AUC,50.0,-0.2653978016621994,0.2653978016621994
hm_follicle_threshold,P4,AUC,0.322,-0.2637611825377479,0.2637611825377479
insulin_igf_scale,IGF1,AUC,0.4,0.2494460470237575,0.2494460470237575
hm_p4_igf_scale,IGF1,AUC,2.5,0.2494460470139348,0.2494460470139348
hp_gnrh_lh_threshold,E2,AUC,0.69,0.2476379082929059,0.2476379082929059
hp_e2_1_scale,E2,AUC,0.99,-0.243318742482573,0.243318742482573
hp_p4_follicle_scale,P4,AUC,1.1,-0.2422076631445052,0.2422076631445052
gnrh_syn,E2,AUC,2.75,-0.2349460024866443,0.2349460024866443
hm_p4_lh_threshold,E2,AUC,0.0269,-0.2213904259399238,0.2213904259399238
hm_p4_igf_threshold,IGF1,AUC,0.3,0.2087280258807917,0.2087280258807917
hm_ih_2_threshold,CL,AUC,0.118,-0.1856998979700532,0.1856998979700532
hp_oxt_pg_threshold,P4,AUC,1.087,0.1812503951222761,0.1812503951222761
fsh_basal_release,P4,AUC,0.948,-0.1803895806113221,0.1803895806113221
follicle_to_inhibin_scale,Follicle,AUC,1.41,-0.1798392881251161,0.1798392881251161
lh_clearance,CL,AUC,2.0,-0.1749417928314705,0.1749417928314705
hp_e2_lh_scale,E2,AUC,0.376,-0.1741791880828255,0.1741791880828255
hp_e2_lh_threshold,E2,AUC,0.243,0.1668394437973321,0.1668394437973321
fsh_clearance,P4,AUC,2.73,-0.1575439731221765,0.1575439731221765
hp_e2_oxt_scale,P4,AUC,1.59,-0.1559301527712669,0.1559301527712669
hp_gnrh_lh_scale,E2,AUC,2.22,-0.1388490577440528,0.1388490577440528
hp_e2_oxt_threshold,P4,AUC,0.143,0.1368251085967447,0.1368251085967447
hm_p4_lh_scale,E2,AUC,2.71,-0.1240622653775167,0.1240622653775167
insulin_igf_threshold,IGF1,AUC,15.0,-0.1231360878943461,0.1231360878943461
hp_fsh_follicle_threshold,CL,AUC,1.497,-0.1225789600397319,0.1225789600397319
insulin_fsh_threshold,CL,AUC,15.0,-0.1076253215359054,0.1076253215359054
oxt_clearance,P4,AUC,0.644,0.0994156558773028,0.0994156558773028
insulin_fsh_scale,E2,AUC,3.0,0.0906146815512993,0.0906146815512993
fsh_syn_scale,E2,AUC,4.21,0.0906146815452031,0.0906146815452031
hm_e2_fsh_scale,P4,AUC,0.396,-0.0699539631724956,0.0699539631724956
hp_iof_threshold,P4,AUC,1.82,0.0517409844434815,0.0517409844434815
hp_pg_iof_scale,P4,AUC,39.68,-0.0477987372657592,0.0477987372657592
hp_cl_self_threshold,P4,AUC,0.2807,-0.0471326506982504,0.0471326506982504
gnrh_clearance,P4,AUC,1.63,0.0459011181995075,0.0459011181995075
feed_direct_blood_fraction,Insulin,AUC,0.08,0.0409092442191603,0.0409092442191603
hp_p4_fsh_scale,CL,AUC,0.293,0.0369498833185505,0.0369498833185505
hp_cl_iof_threshold,P4,AUC,0.6,0.0330274737887295,0.0330274737887295
hp_iof_scale,P4,AUC,41.39,0.0242798967403116,0.0242798967403116
hp_pg_iof_threshold,P4,AUC,1.22,0.0219709365408344,0.0219709365408344
hp_enz_pg_scale,P4,AUC,53.91,-0.0214771954945596,0.0214771954945596
lh_basal_release,E2,AUC,0.0141,0.0209630907226668,0.0209630907226668
hp_enz_pg_threshold,P4,AUC,1.43,0.0142616512698766,0.0142616512698766
hp_p4_enz_scale,P4,AUC,3.58,-0.0141786524701497,0.0141786524701497
enz_clearance,P4,AUC,2.98,0.014088299390997,0.014088299390997
hp_p4_fsh_threshold,P4,AUC,0.152,0.0136434502189001,0.0136434502189001
gnrh_hypo_max,E2,AUC,16.0,-0.0108097407844872,0.0108097407844872
liver_to_storage_max,CL,AUC,180.0,-0.0083806031954206,0.0083806031954206
storage_to_liver_max,CL,AUC,1350.0,0.008015315977219,0.008015315977219
hm_e2_fsh_threshold,P4,AUC,0.312,-0.0069764858708847,0.0069764858708847
pg_clearance,P4,AUC,1.23,0.0067061758192691,0.0067061758192691
hp_p4_enz_threshold,P4,AUC,0.77,0.0052383546659746,0.0052383546659746
hp_gnrh_fsh_scale,P4,AUC,1.23,-0.0042853760490522,0.0042853760490522
hp_gnrh_fsh_threshold,P4,AUC,0.0708,0.0038605457917731,0.0038605457917731
hm_p4_2_scale,E2,AUC,1.91,-0.0038262113611622,0.0038262113611622
gnrh_release_scale,P4,AUC,2.05,-0.0036181696555022,0.0036181696555022
hm_p4_2_threshold,E2,AUC,0.252,0.0024212108078269,0.0024212108078269
storage_fat_threshold,Insulin,AUC,1000.0,0.0023763471678047,0.0023763471678047
hm_p4_1_threshold,E2,AUC,0.35,0.0017775900498818,0.0017775900498818
hm_e2_1_threshold,CL,AUC,0.0972,-0.0004729283836395,0.0004729283836395
hp_lh_follicle_threshold,Insulin,AUC,0.1,-0.0002511645366778,0.0002511645366778
milk_storage_threshold,P4,AUC,10.0,-7.31841570327534e-12,7.31841570327534e-12
milk_fat_threshold,CL,AUC,10.0,0.0,0.0
milk_glucose_requirement,IGF1,AUC,72.0,0.0,0.0
fat_mobilization_storage_threshold,P4,AUC,10.0,0.0,0.0
fat_glucose_transfer_threshold,Insulin,AUC,150000.0,0.0,0.0
fat_to_liver_max,E2,AUC,8.0,0.0,0.0
lactation_oxt_scale,IGF1,AUC,1.5,0.0,0.0
lactation_oxt_decay,P4,AUC,0.0007,0.0,0.0
storage_to_liver_threshold,Glucose,AUC,10.0,0.0,0.0
