increase_param,decrease_param,weight
lactation_oxt_decay,fat_mobilization_storage_threshold,0.4995137847012358
milk_fat_threshold,milk_storage_threshold,0.4984494676572566
fsh_syn_scale,insulin_fsh_scale,0.46703406269998105
hp_pg_iof_scale,hp_enz_pg_scale,0.4260597499193449
hm_p4_2_scale,gnrh_release_scale,0.3315795658497628
fsh_syn_scale,milk_fat_threshold,0.29637159485597114
blood_usage_max,insulin_clearance,0.27547953626727184
fsh_syn_scale,milk_storage_threshold,0.2740588711711027
hm_p4_2_scale,hp_pg_iof_scale,0.2578202490762763
insulin_clearance,insulin_fsh_threshold,0.23625584048510984
insulin_clearance,gnrh_hypo_max,0.21944504163077894
hp_iof_scale,gnrh_release_scale,0.20184099932346553
milk_fat_threshold,insulin_fsh_scale,0.2016120124608758
insulin_clearance,insulin_lh_threshold,0.1974052262972364
hm_p4_2_scale,blood_to_liver_max,0.19273555105596035
milk_storage_threshold,insulin_fsh_scale,0.19095278409535052
insulin_igf_threshold,insulin_lh_scale,0.18911559201733777
lactation_oxt_scale,lactation_oxt_decay,0.17999527143484725
blood_usage_max,insulin_fsh_threshold,0.17735161442791253
lactation_oxt_scale,fat_mobilization_storage_threshold,0.1737999305323463
hp_iof_scale,blood_to_liver_max,0.16716600753441915
blood_usage_max,gnrh_hypo_max,0.16473214940001457
hp_pg_iof_scale,gnrh_release_scale,0.15464386904391217
blood_usage_max,insulin_lh_threshold,0.14818738664168105
insulin_lh_threshold,insulin_clearance,0.14653385175853992
hm_p4_2_scale,hp_enz_pg_scale,0.132324789991065
hp_pg_iof_scale,blood_to_liver_max,0.12807704214899296
hp_enz_pg_scale,gnrh_release_scale,0.1110162089935766
hm_p4_lh_scale,insulin_lh_scale,0.11045673347887817
hp_enz_pg_scale,blood_to_liver_max,0.09194433485400087
liver_to_storage_max,insulin_fsh_threshold,0.08657058594102111
liver_to_storage_max,gnrh_hypo_max,0.0804106505761733
liver_to_storage_max,insulin_lh_threshold,0.07233466090523463
