param,parameter,sensitivity_raw,sensitivity_0to1,nullspace_raw,nullspace_0to1,identifiable_raw,identifiable_0to1,recommendation,recommendation_3class
insulin_glucose_threshold,insulin_glucose_threshold,372.99356627824426,1.0,3.8424022942046365e-05,3.6873969105732034e-05,0.9999999992617978,0.9999999992629991,ESTIMATE_candidate,Estimate
blood_usage_glucose_threshold,blood_usage_glucose_threshold,254.72459763524145,0.6829195478541391,0.0012436216433600743,0.0012420734577167382,0.9999992267023056,0.9999992267035068,ESTIMATE_candidate,Estimate
inhibin_clearance,inhibin_clearance,207.62453027892656,0.5566437307501536,8.12212784118172e-06,6.5720270334938186e-06,0.9999999999670155,0.9999999999682168,ESTIMATE_candidate,Estimate
blood_to_liver_glucose_threshold,blood_to_liver_glucose_threshold,80.63850340458615,0.21619274618917086,0.0034552594295836395,0.0034537146722296666,0.9999940305733203,0.9999940305745215,ESTIMATE_candidate,Estimate
hp_p4_follicle_scale,hp_p4_follicle_scale,74.57907281203929,0.19994734374695644,8.834408806119166e-05,8.679411160663907e-05,0.9999999960976609,0.9999999960988621,ESTIMATE_candidate,Estimate
hm_ih_2_threshold,hm_ih_2_threshold,68.79007937732642,0.1844269864054724,7.793936624487766e-06,6.2438353080662626e-06,0.9999999999696272,0.9999999999708284,ESTIMATE_candidate,Estimate
insulin_clearance,insulin_clearance,60.10680293595798,0.16114702335406972,0.9999832671901935,0.9999832671642555,0.0057849234762617115,0.005784923476268661,COMPENSATORY_high_impact,Fix (anchor)
insulin_secretion_max,insulin_secretion_max,60.05626430347794,0.16101152870469998,0.9999999887709994,0.9999999887709817,0.0001498599378139437,0.00014985993781412374,COMPENSATORY_high_impact,Fix (anchor)
follicle_to_e2_scale,follicle_to_e2_scale,56.5374100672445,0.15157744041372806,0.0011825354141394978,0.0011809871338055796,0.9999993008047527,0.999999300805954,ESTIMATE_candidate,Estimate
hp_fsh_follicle_scale,hp_fsh_follicle_scale,55.858250644219176,0.14975660626422244,0.00014312145354122843,0.00014157156199780396,0.9999999897581249,0.9999999897593261,ESTIMATE_candidate,Estimate
follicle_to_inhibin_scale,follicle_to_inhibin_scale,51.433078902489584,0.13789267041705952,0.000771914838601729,0.0007703659217593551,0.9999997020736967,0.999999702074898,ESTIMATE_candidate,Estimate
hm_follicle_threshold,hm_follicle_threshold,42.61053473443002,0.11423932900398497,9.901904450260799e-05,9.74690845954484e-05,0.9999999950976144,0.9999999950988157,ESTIMATE_candidate,Estimate
insulin_fsh_scale,insulin_fsh_scale,42.10157380772682,0.1128747989618675,0.5944180270509236,0.5944173983528733,0.8041562094001932,0.8041562094011592,ESTIMATE_candidate,Estimate
fsh_syn_scale,fsh_syn_scale,42.101573775982935,0.11287479887676177,0.8195323437648019,0.8195320640194699,0.5730329288298972,0.5730329288305855,COMPENSATORY_high_impact,Fix (anchor)
hp_fsh_follicle_threshold,hp_fsh_follicle_threshold,42.04773846877384,0.11273046580489067,0.00015753513413972755,0.0001559852649391425,0.9999999875913411,0.9999999875925424,ESTIMATE_candidate,Estimate
insulin_fsh_threshold,insulin_fsh_threshold,41.35901437089176,0.11088398865314188,0.9874224270340837,0.9874224075374191,0.15810423963359999,0.15810423963378992,COMPENSATORY_high_impact,Fix (anchor)
blood_usage_max,blood_usage_max,41.267346375204056,0.11063822571250359,0.9999446171296882,0.9999446170438382,0.01052438470229173,0.010524384702304372,COMPENSATORY_high_impact,Fix (anchor)
fsh_basal_release,fsh_basal_release,39.836607773683504,0.10680239922413662,0.00687229060595384,0.006870751145385674,0.9999763855320924,0.9999763855332937,ESTIMATE_candidate,Estimate
glucagon_clearance,glucagon_clearance,38.19303829080906,0.10239597071848143,0.9999803549515938,0.9999803549211415,0.00626815051560823,0.006268150515615759,COMPENSATORY_high_impact,Fix (anchor)
glucagon_secretion_max,glucagon_secretion_max,38.19224343531994,0.1023938397018608,0.999999999466886,0.999999999466885,3.265318052245148e-05,3.265318052249071e-05,COMPENSATORY_high_impact,Fix (anchor)
hp_e2_oxt_scale,hp_e2_oxt_scale,38.07378229505129,0.10207624403539754,0.10407143768531482,0.10407004889444678,0.9945698245262178,0.9945698245274125,ESTIMATE_candidate,Estimate
hp_oxt_pg_threshold,hp_oxt_pg_threshold,38.06262090113125,0.10204632021115732,0.07719328829022917,0.07719185783518165,0.9970161464304089,0.9970161464316066,ESTIMATE_candidate,Estimate
cl_formation_scale,cl_formation_scale,37.64330064223056,0.10092211782052443,0.0038705337719360136,0.003868989658304362,0.9999925094561058,0.9999925094573071,ESTIMATE_candidate,Estimate
e2_clearance,e2_clearance,37.33193429517469,0.10008734109726161,3.83333134485425e-05,3.6783259471618165e-05,0.9999999992652788,0.9999999992664801,ESTIMATE_candidate,Estimate
hepatic_glucose_release,hepatic_glucose_release,36.45493985848387,0.0977361090225598,0.001842673479039154,0.0018411262219940943,0.9999983022757838,0.999998302276985,ESTIMATE_candidate,Estimate
glucagon_glucose_threshold,glucagon_glucose_threshold,36.351367645895685,0.09745843074080918,0.0014972203825366194,0.0014956725900000865,0.9999988791649357,0.999998879166137,ESTIMATE_or_constrain,Estimate
insulin_lh_threshold,insulin_lh_threshold,35.83655579625461,0.09607821430764679,0.9884405028864082,0.9884404849678766,0.15160927495923573,0.15160927495941787,FIX_anchor_compensation,Fix (anchor)
igf_lh_sensitivity_threshold,igf_lh_sensitivity_threshold,35.723118380881004,0.0957740873048529,0.011485003628188243,0.011483471317848331,0.9999340451708106,0.9999340451720118,ESTIMATE_or_constrain,Estimate
pg_clearance,pg_clearance,35.49175125435516,0.09515378940311041,0.00010636695690498185,0.00010481700838791974,0.9999999943430354,0.9999999943442367,ESTIMATE_candidate,Estimate
igf_lh_sensitivity_scale,igf_lh_sensitivity_scale,34.58069755885912,0.0927112440675793,0.02743039927501692,0.027428891681848432,0.9996237158029081,0.9996237158041089,ESTIMATE_or_constrain,Estimate
liver_usage_rate,liver_usage_rate,34.39195066832233,0.09220521150401495,0.05913649015326549,0.059135031708133265,0.9982499063522883,0.9982499063534874,ESTIMATE_or_constrain,Estimate
hp_lh_follicle_scale,hp_lh_follicle_scale,33.853966850224744,0.09076287075946639,0.05141328540697541,0.051411814990000027,0.9986774624890962,0.9986774624902959,ESTIMATE_or_constrain,Estimate
hp_cl_self_scale,hp_cl_self_scale,33.06272225013774,0.0886415349734846,0.0003295847714159107,0.0003280351689117734,0.9999999456869381,0.9999999456881393,ESTIMATE_candidate,Estimate
hp_e2_oxt_threshold,hp_e2_oxt_threshold,32.27156565798948,0.0865204351377891,0.0004195202634506546,0.00041797080035672847,0.9999999120013708,0.9999999120025721,ESTIMATE_candidate,Estimate
p4_clearance,p4_clearance,30.433754478404207,0.08159324243062507,9.22582012464307e-06,7.675721027803364e-06,0.9999999999574423,0.9999999999586435,ESTIMATE_candidate,Estimate
fsh_clearance,fsh_clearance,28.437390759463636,0.07624096855936122,0.0012552381550081802,0.0012536899873717546,0.9999992121882771,0.9999992121894784,ESTIMATE_candidate,Estimate
igf_clearance,igf_clearance,28.202656436130116,0.07561164316462127,0.00040294528743535876,0.0004013957986483402,0.9999999188175442,0.9999999188187455,ESTIMATE_candidate,Estimate
blood_to_liver_max,blood_to_liver_max,22.423017604068924,0.060116365619405594,0.9293168510530536,0.9293167414861572,0.36928334696928367,0.36928334696972726,FIX_anchor_compensation,Fix (anchor)
insulin_lh_scale,insulin_lh_scale,22.321754125408706,0.05984487707961486,0.3165647351640841,0.3165636757619234,0.9485709084989339,0.9485709085000734,ESTIMATE_or_constrain,Estimate
oxt_clearance,oxt_clearance,21.71825624643188,0.05822689239157166,0.0013482922292366154,0.0013467442058445569,0.9999990910536195,0.9999990910548208,ESTIMATE_or_constrain,Estimate
