parameter,ranking_score,nullspace_score,identifiable_score
insulin_glucose_threshold,372.99356627824426,3.8424022942046365e-05,0.9999999992617978
blood_usage_glucose_threshold,254.72459763524145,0.0012436216433600743,0.9999992267023056
inhibin_clearance,207.62453027892656,8.12212784118172e-06,0.9999999999670155
blood_to_liver_glucose_threshold,80.63850340458615,0.0034552594295836395,0.9999940305733203
hp_p4_follicle_scale,74.57907281203929,8.834408806119166e-05,0.9999999960976609
hm_ih_2_threshold,68.79007937732642,7.793936624487766e-06,0.9999999999696272
insulin_clearance,60.10680293595798,0.9999832671901935,0.0057849234762617115
insulin_secretion_max,60.05626430347794,0.9999999887709994,0.0001498599378139437
follicle_to_e2_scale,56.5374100672445,0.0011825354141394978,0.9999993008047527
hp_fsh_follicle_scale,55.858250644219176,0.00014312145354122843,0.9999999897581249
follicle_to_inhibin_scale,51.433078902489584,0.000771914838601729,0.9999997020736967
hm_follicle_threshold,42.61053473443002,9.901904450260799e-05,0.9999999950976144
insulin_fsh_scale,42.10157380772682,0.5944180270509236,0.8041562094001932
fsh_syn_scale,42.101573775982935,0.8195323437648019,0.5730329288298972
hp_fsh_follicle_threshold,42.04773846877384,0.00015753513413972755,0.9999999875913411
insulin_fsh_threshold,41.35901437089176,0.9874224270340837,0.15810423963359999
blood_usage_max,41.267346375204056,0.9999446171296882,0.01052438470229173
fsh_basal_release,39.836607773683504,0.00687229060595384,0.9999763855320924
glucagon_clearance,38.19303829080906,0.9999803549515938,0.00626815051560823
glucagon_secretion_max,38.19224343531994,0.999999999466886,3.265318052245148e-05
hp_e2_oxt_scale,38.07378229505129,0.10407143768531482,0.9945698245262178
hp_oxt_pg_threshold,38.06262090113125,0.07719328829022917,0.9970161464304089
cl_formation_scale,37.64330064223056,0.0038705337719360136,0.9999925094561058
e2_clearance,37.33193429517469,3.83333134485425e-05,0.9999999992652788
hepatic_glucose_release,36.45493985848387,0.001842673479039154,0.9999983022757838
glucagon_glucose_threshold,36.351367645895685,0.0014972203825366194,0.9999988791649357
insulin_lh_threshold,35.83655579625461,0.9884405028864082,0.15160927495923573
igf_lh_sensitivity_threshold,35.723118380881004,0.011485003628188243,0.9999340451708106
pg_clearance,35.49175125435516,0.00010636695690498185,0.9999999943430354
igf_lh_sensitivity_scale,34.58069755885912,0.02743039927501692,0.9996237158029081
liver_usage_rate,34.39195066832233,0.05913649015326549,0.9982499063522883
hp_lh_follicle_scale,33.853966850224744,0.05141328540697541,0.9986774624890962
hp_cl_self_scale,33.06272225013774,0.0003295847714159107,0.9999999456869381
hp_e2_oxt_threshold,32.27156565798948,0.0004195202634506546,0.9999999120013708
p4_clearance,30.433754478404207,9.22582012464307e-06,0.9999999999574423
fsh_clearance,28.437390759463636,0.0012552381550081802,0.9999992121882771
igf_clearance,28.202656436130116,0.00040294528743535876,0.9999999188175442
blood_to_liver_max,22.423017604068924,0.9293168510530536,0.36928334696928367
insulin_lh_scale,22.321754125408706,0.3165647351640841,0.9485709084989339
oxt_clearance,21.71825624643188,0.0013482922292366154,0.9999990910536195
hp_e2_1_threshold,19.43916309705935,0.005153935042812539,0.9999867183885871
hp_gnrh_lh_threshold,16.823878633181582,0.034702460652549554,0.9993976882225907
hm_e2_fsh_scale,16.61956767411435,0.007666424339845275,0.9999706125371094
p4_baseline,16.401787390953395,1.5501109950592645e-06,0.9999999999987987
lh_clearance,16.258630886374522,0.045648987527673254,0.9989575416091006
hm_p4_lh_threshold,16.18273691922191,0.0028397400240587943,0.9999959679301689
insulin_igf_scale,15.804147332023451,0.1582886829087685,0.9873928766519472
hm_p4_igf_scale,15.804147300122635,0.9874418530372279,0.15798286891434082
hp_e2_1_scale,15.448990134638096,0.03343142264775421,0.9994410137570636
gnrh_syn,15.119131494488142,0.03678941785857371,0.9993230402295479
igf_basal_release,13.174659639235928,9.365814997757308e-05,0.9999999956140755
hp_e2_lh_scale,12.604447125029822,0.09897029473625599,0.995090388236073
iof_clearance,11.951283052307174,0.0007200831904546312,0.9999997407400657
hp_e2_lh_threshold,11.518845271700389,0.011435337923008743,0.9999346143856547
hp_p4_follicle_threshold,11.416755658852917,1.915945216442297e-05,0.9999999998164575
hp_p4_fsh_scale,10.40039506603292,0.0007842930803170557,0.9999996924421349
hm_p4_lh_scale,9.72365651317022,0.48680351539026356,0.8735114981519602
hp_gnrh_lh_scale,9.624672163366817,0.04076067085422035,0.9991689385241689
insulin_igf_threshold,7.745332608338787,0.7534118579117923,0.6575489125212676
cl_to_p4_scale,5.466062068758774,0.044332406080556275,0.9990168355794155
hp_pg_iof_threshold,4.978848977911666,0.0033720578339868634,0.9999943145968204
hp_enz_pg_scale,4.112677845734164,0.9970065372596403,0.07731729859185014
feed_direct_blood_fraction,3.4210321274031594,0.009147031311852145,0.999958165034008
hp_enz_pg_threshold,2.8518648048107718,0.20674487607018674,0.9783948876699654
gnrh_clearance,2.797668194624263,0.010018824170057856,0.9999498103216226
enz_clearance,2.768528981288842,0.30933430723428645,0.9509533565679678
hp_p4_enz_scale,2.73495103474206,0.21404651153458937,0.9768234696708878
hp_cl_self_threshold,2.1031251821260244,0.009365930962001,0.999956138706701
hp_iof_threshold,1.9883995074302863,0.03907254236252674,0.9992363766563592
hp_gnrh_fsh_scale,1.8595446143662084,0.009616633630408142,0.9999537591096991
lh_basal_release,1.801679427441146,0.0010827103541818806,0.9999994138689724
hp_pg_iof_scale,1.746798064355069,0.991902632543668,0.1270006596555367
hm_p4_igf_threshold,1.7466956263679692,1.2600621589677872e-05,0.9999999999206118
storage_to_liver_max,1.7356232488685583,0.9999892749665561,0.004631409273917256
